t_id_copropiedad;t_id_unidadpredial;t_id_prediomatriz;coeficiente
3018360;3018358;1041389;0.0000000000
996307;996305;858908;0.0000000000
951169;951167;858908;0.0000000000
3026289;3026287;1047947;0.0000000000
3016581;3016579;858908;0.0000000000
1027339;1027337;790855;0.0000000000
950313;950311;858908;0.0000000000
3015660;3015658;1047947;0.0000000000
3020349;3020347;1047947;0.0000000000
3017544;3017542;858908;0.0000000000
1000054;1000052;858908;0.0000000000
3026664;3026662;1047947;0.0000000000
3017433;3017431;1047947;0.0000000000
3019422;3019420;858908;0.0000000000
3017352;3017350;858908;0.0000000000
3026949;3026947;1047947;0.0000000000
3023451;3023449;1047947;0.0000000000
3027057;3027055;1041389;0.0000000000
3027018;3027016;1041389;0.0000000000
3023124;3023122;1041389;0.0000000000
3012927;3012925;858908;0.0000000000
3026217;3026215;1055821;0.0000000000
860845;860843;858908;0.0000000000
3020094;3020092;858908;0.0000000000
998054;998052;858908;0.0000000000
997466;997464;858908;0.0000000000
1044454;1044452;858908;0.0000000000
997137;997135;858908;0.0000000000
957242;957240;750029;0.0000000000
1004858;1004856;750029;0.0000000000
947287;947285;858908;0.0000000000
3024825;3024823;1047947;0.0000000000
1053073;1053071;858908;0.0000000000
3011217;3011215;858908;0.0000000000
995858;995856;858908;0.0000000000
3024873;3024871;1047947;0.0000000000
3026688;3026686;1047947;0.0000000000
903057;903055;858908;0.0000000000
3009954;3009952;1047947;0.0000000000
860180;860178;858908;0.0000000000
3015336;3015334;858908;0.0000000000
1060337;1060335;858908;0.0000000000
964490;964488;858908;0.0000000000
814081;814079;790855;0.0000000000
3012435;3012433;858908;0.0000000000
3010086;3010084;858908;0.0000000000
3009603;3009601;858908;0.0000000000
994516;994514;763230;0.0000000000
3026892;3026890;1047947;0.0000000000
799034;799032;750029;0.0000000000
3015303;3015301;1047947;0.0000000000
3015765;3015763;858908;0.0000000000
1048594;1048592;1047947;0.0000000000
906715;906713;790855;0.0000000000
3012504;3012502;1041389;0.0000000000
999296;999294;858908;0.0000000000
995998;995996;858908;0.0000000000
993583;993581;858908;0.0000000000
3021252;3021250;858908;0.0000000000
3021135;3021133;1047947;0.0000000000
3027279;3027277;1047947;0.0000000000
3017304;3017302;858908;0.0000000000
3026364;3026362;1041389;0.0000000000
1041388;1041386;858908;0.0000000000
993730;993728;858908;0.0000000000
3018792;3018790;1041389;0.0000000000
3017877;3017875;1047947;0.0000000000
1016892;1016890;750029;0.0000000000
3009375;3009373;858908;0.0000000000
1066886;1066884;858908;0.0000000000
998611;998609;763230;0.0000000000
981859;981857;858908;0.0000000000
3025047;3025045;1055821;0.0000000000
996796;996794;858908;0.0000000000
949868;949866;858908;0.0000000000
919832;919830;858908;0.0000000000
771693;771691;661641;0.0000000000
3019023;3019021;858908;0.0000000000
3009573;3009571;858908;0.0000000000
3026838;3026836;1047947;0.0000000000
3014799;3014797;858908;0.0000000000
763853;763851;750029;0.0000000000
3015309;3015307;858908;0.0000000000
1002991;1002989;858908;0.0000000000
3009360;3009358;858908;0.0000000000
991650;991648;658794;0.0000000000
949156;949154;790855;0.0000000000
860642;860640;858908;0.0000000000
1067047;1067045;750029;0.0000000000
3023256;3023254;1047947;0.0000000000
909612;909610;858908;0.0000000000
3012411;3012409;858908;0.0000000000
1007841;1007839;858908;0.0000000000
949887;949885;858908;0.0000000000
1047967;1047965;858908;0.0000000000
1025302;1025300;858908;0.0000000000
3023103;3023101;1047947;0.0000000000
3016692;3016690;790855;0.0000000000
3018207;3018205;858908;0.0000000000
862821;862819;858908;0.0000000000
3026400;3026398;1041389;0.0000000000
1001413;1001411;750029;0.0000000000
3026964;3026962;1047947;0.0000000000
3011112;3011110;858908;0.0000000000
948809;948807;790855;0.0000000000
1002588;1002586;858908;0.0000000000
1002683;1002681;858908;0.0000000000
3020778;3020776;1047947;0.0000000000
3012444;3012442;858908;0.0000000000
1037164;1037162;858908;0.0000000000
3013143;3013141;858908;0.0000000000
904507;904505;858908;0.0000000000
1048615;1048613;858908;0.0000000000
1019245;1019243;858908;0.0000000000
