t_id_predio;numero_predial;condicion_predio
1065315;470010109000003600901900000147;PH.Unidad_Predial
935288;470010002000000021901901020204;PH.Unidad_Predial
689601;470010110000000630356000000000;PH.Unidad_Predial
935006;470010002000000021901901030303;PH.Unidad_Predial
1064042;470010109000003600901900000151;PH.Unidad_Predial
1065169;470010107000001210904904020209;PH.Unidad_Predial
3013633;470010002000000040901901010170;PH.Unidad_Predial
1065303;470010109000003600901900000136;PH.Unidad_Predial
934905;470010002000000021901901020208;PH.Unidad_Predial
935286;470010002000000021901901030301;PH.Unidad_Predial
662041;470010103000000130901900000000;PH.Unidad_Predial
1063902;470010109000003600901900000150;PH.Unidad_Predial
658829;470010002000000039010000000000;PH.Unidad_Predial
1065181;470010107000001210904904020210;PH.Unidad_Predial
856468;470010115000003920027901030002;PH.Unidad_Predial
812869;470010104000000610901900000030;PH.Unidad_Predial
935544;470010002000000021901901020206;PH.Unidad_Predial
1057702;470010101000001010901900000000;PH.Unidad_Predial
1057708;470010101000001210902900000000;PH.Unidad_Predial
1047072;470010109000003670901900000000;PH.Unidad_Predial
912207;470010110000000100901901000058;PH.Unidad_Predial
808354;470010002000000021901901020207;PH.Unidad_Predial
968349;470010110000000630354000000000;PH.Unidad_Predial
902662;470010107000000280905901050509;PH.Unidad_Predial
1058200;470010101000001840902900000000;PH.Unidad_Predial
968347;470010110000000630353000000000;PH.Unidad_Predial
935469;470010002000000021901901030302;PH.Unidad_Predial
907644;470010102000002200015901020001;PH.Unidad_Predial
692618;470010107000000490903901150139;PH.Unidad_Predial
935922;470010002000000021901901040402;PH.Unidad_Predial
658819;470010002000000020078000000000;PH.Unidad_Predial
862523;470010110000001590901900000095;PH.Unidad_Predial
935042;470010002000000021901901020201;PH.Unidad_Predial
1061578;470010110000000630058000000000;PH.Unidad_Predial
936063;470010002000000021901901040403;PH.Unidad_Predial
1072431;470010110000000580902900000121;PH.Unidad_Predial
658809;470010109000004170021000000000;PH.Unidad_Predial
658821;470010002000000039013000000000;PH.Unidad_Predial
862525;470010110000000380905900001362;PH.Unidad_Predial
832973;470010110000000630052000000000;PH.Unidad_Predial
935463;470010002000000021901901020205;PH.Unidad_Predial
932051;470010002000000021901901010103;PH.Unidad_Predial
935332;470010002000000021901901030306;PH.Unidad_Predial
658839;470010002000000030110000000000;PH.Unidad_Predial
3008293;470010002000000040901901010167;PH.Unidad_Predial
1057694;470010101000001020901900000000;PH.Unidad_Predial
658825;470010002000000039015000000000;PH.Unidad_Predial
1057696;470010101000000980901900000000;PH.Unidad_Predial
991179;470010002000000040901901010161;PH.Unidad_Predial
920020;470010109000004190010000000000;PH.Unidad_Predial
661752;470010109000003600134000000000;PH.Unidad_Predial
879913;470010109000003680901900000000;PH.Unidad_Predial
1065305;470010109000003600901900000137;PH.Unidad_Predial
660262;470010105000001980007901020002;PH.Unidad_Predial
3008782;470010002000000040901901010174;PH.Unidad_Predial
860439;470010109000003600901900000146;PH.Unidad_Predial
1065301;470010109000003600901900000144;PH.Unidad_Predial
