t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
84039;A;67.7;
53489;A;67.7;
14494;A;73.8;
84165;A;55.9;
38216;A;0.0;
60838;A;60.3;
60952;A;72.1;
53621;A;47.6;
84172;A;47.6;
84040;A;67.7;
60885;A;72.1;
53525;A;55.9;
55813;A;0.0;
72976;A;0.0;
84004;A;67.7;
53633;A;47.6;
53671;A;55.9;
84768;A;43.6;2024
55651;A;47.6;
84191;A;55.9;
53106;A;55.9;
79117;A;53.7;
61888;A;0.0;
53846;A;67.7;
60968;A;41.8;
60873;A;41.8;
83980;A;0.0;
60836;A;60.3;
84176;A;55.9;
60944;A;72.1;
53632;A;47.6;
45172;A;0.0;
82800;A;73.8;
60922;A;60.3;
60848;A;41.8;
60880;A;72.1;
2328;A;31.4;
60898;A;41.8;
60872;A;41.8;
7619;A;73.8;
84038;A;67.7;
23207;A;0.0;
84771;A;208.6;
84051;A;67.7;
84048;A;67.7;
53120;A;568.5;
49656;A;0.0;
84158;A;0.0;
84033;A;67.7;
84061;A;67.7;
18344;A;31.4;
60818;A;60.3;
78238;A;53.7;
84160;A;47.6;
17365;A;31.4;
84022;A;67.7;
60995;A;60.3;
84000;A;67.7;
79642;A;73.8;
71480;A;0.0;
77711;A;31.4;
84036;A;67.7;
60816;A;60.3;
53381;A;47.6;
60945;A;72.1;
61008;A;0.0;
13653;A;53.7;
60942;A;72.1;
60837;A;60.3;
65276;A;0.0;
53398;A;47.6;
84201;A;47.6;
60914;A;60.3;
53609;A;47.6;
84196;A;55.9;
58106;A;67.7;
43718;A;0.0;
60979;A;60.3;
60842;A;60.3;
29413;A;0.0;
53347;A;55.9;
8016;A;73.8;
73676;A;0.0;
60964;A;41.8;
60974;A;60.3;
60994;A;60.3;
59066;A;67.7;
84614;A;645.0;
83985;A;0.0;
53620;A;47.6;
62196;A;0.0;
60851;A;41.8;
60958;A;41.8;
60971;A;41.8;
84601;C-11;15.8;
60978;A;60.3;
84192;A;55.9;
15825;A;73.8;
60910;A;60.3;
71920;A;0.0;
60918;A;60.3;
84159;A;55.9;
60888;A;41.8;
60917;A;60.3;
73370;A;0.0;
53406;A;47.6;
84062;A;67.7;
84049;A;67.7;
14051;A;53.7;
84186;A;55.9;
60865;A;72.1;
53407;A;47.6;
84026;A;67.7;
84014;A;67.7;
10358;A;31.4;
60857;A;72.1;
84032;A;67.7;
83982;A;0.0;
75690;A;0.0;
53062;A;29.9;
33286;A;0.0;
81746;A;31.5;
84174;A;55.9;
50052;A;67.7;
77843;A;31.4;
74160;A;0.0;
53368;A;55.9;
53107;A;241.7;
26107;A;0.0;
84027;A;67.7;
84034;A;67.7;
42170;A;0.0;
84017;A;67.7;
60434;A;67.7;
61005;A;60.3;
53429;A;47.6;
84181;A;55.9;
60899;A;41.8;
84188;A;47.6;
84166;A;45.6;
60830;A;60.3;
45747;A;0.0;
84184;A;47.6;
28474;A;0.0;
53510;A;55.9;
53348;A;47.6;
74072;A;0.0;
60861;A;72.1;
60977;A;60.3;
60991;A;60.3;
60868;A;41.8;
61006;A;60.3;
55822;A;207.1;
80474;A;31.4;
60956;A;41.8;
84058;A;67.7;
48864;A;0.0;
29770;A;0.0;
84002;A;67.7;
80911;A;53.7;
76262;A;0.0;
62768;A;0.0;
83996;A;67.7;
83020;A;73.8;
60844;A;41.8;
83989;A;0.0;
60969;A;41.8;
61019;A;67.7;
2682;A;61.5;
60943;A;72.1;
55425;A;67.7;
60982;A;60.3;
60823;A;60.3;
74948;A;0.0;
60972;A;60.3;
53039;A;30.7;
84776;A;109.0;
60949;A;72.1;
53552;A;55.9;
84586;A;207.1;
75384;A;0.0;
61003;A;60.3;
60928;A;72.1;
80736;A;31.4;
84019;A;67.7;
84047;A;67.7;
60931;A;72.1;
84703;NULL;30.1;
76744;A;78.5;
60893;A;41.8;
84778;A;109.0;
74597;A;0.0;
72448;A;67.7;
43674;A;0.0;
75998;A;0.0;
53650;A;47.6;
6600;A;78.5;
84185;A;55.9;
77492;A;73.8;
14850;A;31.4;
7531;A;53.7;
84025;A;67.7;
31062;A;0.0;
84056;A;67.7;
60907;A;60.3;
60930;A;72.1;
30127;A;0.0;
49524;A;0.0;
14939;A;78.5;
84195;A;47.6;
84164;A;55.9;
84070;A;67.7;
19280;A;73.8;
84043;A;67.7;
53430;A;47.6;
60886;A;41.8;
70205;A;0.0;
60846;A;41.8;
50140;A;67.7;
60936;A;72.1;
60892;A;41.8;
84178;A;47.6;
75778;A;0.0;
75734;A;0.0;
53538;A;55.9;
84069;A;67.7;
58368;A;67.7;
50711;A;67.7;
60905;A;60.3;
32931;A;0.0;
46670;A;0.0;
49700;A;0.0;
32043;A;0.0;
17584;A;31.4;
42434;A;0.0;
60834;A;60.3;
60962;A;41.8;
60817;A;60.3;
