t_id_direccion;t_id_predio;nombre_predio
865809;865808;
661140;661139;
1057701;1057700;
658569;658568;
883852;883851;
1065242;1065241;
658419;658418;
661308;661307;
660418;660417;
660559;660558;
662186;662185;
661440;661439;
798530;798529;
673701;673700;
661316;661315;
661414;661413;
660343;660342;
660549;660548;
661529;661528;
659610;659609;
659958;659957;
876795;876794;
660493;660492;
659334;659333;
660648;660647;
671913;671912;
661332;661331;
659898;659897;
673137;673136;
672370;672369;
660990;660989;
661428;661427;
865169;865168;
671306;671305;
876695;876694;
881421;881420;
670524;670523;
658894;658893;
870919;870918;
660170;660169;
866033;866032;
661036;661035;
672476;672475;
660642;660641;
661350;661349;
661018;661017;
866309;866308;
659902;659901;
661620;661619;
660479;660478;
658878;658877;
659103;659102;
660798;660797;
659007;659006;
660720;660719;
661082;661081;
672839;672838;
766204;766203;
661672;661671;
660440;660439;
660804;660803;
661212;661211;
660008;660007;
1058201;1058200;0
659492;659491;
660291;660290;
885781;885780;
659112;659111;
660784;660783;
658896;658895;
661690;661689;
660152;660151;
1057709;1057708;
797086;797085;
660354;660353;
660382;660381;
660305;660304;
660116;660115;
661116;661115;
660040;660039;
660702;660701;
660509;660508;
660453;660452;
661322;661321;
660846;660845;
660259;660258;
659424;659423;
660926;660925;
660265;660264;
659706;659705;
670222;670221;
660046;660045;
660912;660911;
660589;660588;
661130;661129;
659314;659313;
659854;659853;
660836;660835;
803975;803974;
862631;862630;
659484;659483;
659734;659733;
658427;658426;
661418;661417;
661294;661293;
660497;660496;
658579;658578;
659998;659997;
658359;658358;
660082;660081;
883673;883672;
797128;797127;
659348;659347;
658433;658432;
661206;661205;
660366;660365;
658429;658428;
659508;659507;
658854;658853;
660539;660538;
661406;661405;
671390;671389;
659594;659593;
661054;661053;
659824;659823;
660333;660332;
661682;661681;
661420;661419;
877659;877658;
760578;760577;
659466;659465;
865807;865806;
660726;660725;
659872;659871;
661214;661213;
659412;659411;
659516;659515;
660352;660351;
660150;660149;
658856;658855;
661726;661725;
660188;660187;
660457;660456;
877080;877079;
659157;659156;
660404;660403;
1065172;1065171;
661398;661397;
660788;660787;
876979;876978;
661168;661167;
660220;660219;
661074;661073;
659798;659797;
660884;660883;
660134;660133;
658597;658596;
659688;659687;
661104;661103;
661553;661552;
658573;658572;
660986;660985;
660410;660409;
659292;659291;
871991;871990;
659732;659731;
671151;671150;
660094;660093;
660358;660357;
661569;661568;
659626;659625;
659770;659769;
660273;660272;
660378;660377;
660698;660697;
660212;660211;
660656;660655;
660487;660486;
660535;660534;
798534;798533;
660052;660051;
660806;660805;
658437;658436;
658882;658881;
659320;659319;
659966;659965;
659884;659883;
778971;778970;C
658765;658764;
659664;659663;
660376;660375;
937578;937577;
874460;874459;
661076;661075;
660014;660013;
1057705;1057704;
658387;658386;
659578;659577;
920021;920020;0
661090;661089;
875795;875794;
661382;661381;
658405;658404;
661026;661025;
661096;661095;
659928;659927;
659454;659453;
659920;659919;
660396;660395;
660056;660055;
658938;658937;C
659696;659695;
798500;798499;
660287;660286;
659876;659875;
658822;658821;
661114;661113;
659980;659979;
797162;797161;
659720;659719;
660952;660951;
659418;659417;
664803;664802;
673141;673140;
659900;659899;
660892;660891;
670845;670844;
660792;660791;
671215;671214;
659842;659841;
658860;658859;
879914;879913;0
660611;660610;
660758;660757;
659480;659479;
661178;661177;
661462;661461;
658830;658829;
674305;674304;
661535;661534;
659029;659028;
659804;659803;
659474;659473;
659784;659783;
672402;672401;
661290;661289;
660096;660095;
660998;660997;
660531;660530;
661296;661295;
764212;764211;
658601;658600;
658373;658372;
658850;658849;
877914;877913;
661680;661679;
662129;662128;
659468;659467;
659548;659547;
660595;660594;
661592;661591;
659312;659311;
658842;658841;
661555;661554;
660768;660767;
658718;658717;
659988;659987;
661698;661697;
879728;879727;
660301;660300;
660858;660857;
660422;660421;
661108;661107;
660406;660405;
856473;856472;
659406;659405;
661342;661341;
659510;659509;
659622;659621;
661422;661421;
661271;661270;
865102;865101;
660734;660733;
660966;660965;
661388;661387;
672921;672920;
659750;659749;
661468;661467;
661046;661045;
659526;659525;
660992;660991;
881384;881383;
1065170;1065169;
661450;661449;
671323;671322;
660321;660320;
798644;798643;
659069;659068;
659382;659381;
661640;661639;
660646;660645;
662229;662228;
660275;660274;
660922;660921;
660774;660773;
660362;660361;
660523;660522;
877237;877236;
661336;661335;
