t_id_predio;numero_predial;matricula_inmobiliaria;codigo_homologado
666876;470010103000003670002000000000;10100240003351;RIC00905833
966419;470010103000003670003000000000;10100240003351;RIC00748203
914204;470010103000003670005000000000;10100240003351;RIC00803391
818500;470010103000003670006000000000;10100240003351;RIC00856487
973886;470010103000003670007000000000;10100240003351;RIC00984127
887592;470010103000003670008000000000;10100240003351;RIC00963745
876098;470010103000003670009000000000;10100240003351;RIC01124286
809155;470010103000003670010000000000;10100240003351;RIC00793481
962427;470010103000003670011000000000;10100240003351;RIC00963747
884338;470010103000003670015000000000;10100240003351;RIC00832891
707341;470010103000003680002000000000;10100240003351;RIC00974359
686707;470010103000003680003000000000;10100240003351;RIC01087507
963054;470010103000003680006000000000;10100240003351;RIC00885349
986490;470010103000003680010000000000;10100240003351;RIC01087509
768741;470010103000003680011000000000;10100240003351;RIC01061617
701203;470010103000003680013000000000;10100240003351;RIC00793483
963056;470010103000003690001000000000;10100240003351;RIC00885353
847369;470010103000003690002000000000;10100240003351;RIC00936041
667264;470010103000003690003000000000;10100240003351;RIC00748597
938068;470010103000003690004000000000;10100240003351;RIC00922121
791780;470010103000003690005000000000;10100240003351;RIC00793485
845474;470010103000003690007000000000;10100240003351;RIC00853203
745403;470010103000003690008000000000;10100240003351;RIC00803393
962408;470010103000003690011000000000;10100240003351;RIC01061621
799207;470010103000003690012000000000;10100240003351;RIC00963751
888326;470010103000003690017000000000;10100240003351;RIC00793487
711553;470010103000003690018000000000;10100240003351;RIC00936043
831505;470010103000003690019000000000;10100240003351;RIC01061623
826761;470010103000003710001000000000;10100240003351;RIC00951561
986478;470010103000003710002000000000;10100240003351;RIC00856489
735686;470010103000003710003000000000;10100240003351;RIC00816235
935095;470010103000003710004000000000;10100240003351;RIC00898807
785809;470010103000003710005000000000;10100240003351;RIC00853205
753057;470010103000003710006000000000;10100240003351;RIC01029791
873459;470010103000003710007000000000;10100240003351;RIC01023977
701349;470010103000003710008000000000;10100240003351;RIC00920259
