t_id_terreno;t_id_unidadconstruccion;unidadconstruccion_nocontenida_en_terreno;t_id_terreno_asociado_a_unidadconstruccion;t_id_predio
1158313;1220627;false;1158313;853380
1129907;1210723;false;1129907;973834
1162541;1210704;false;1162541;740495
1124586;1195695;false;1124586;986094
1115900;1196462;false;1115900;1059592
1173359;1273514;false;1173359;658558
1092097;1189188;false;1092097;658929
1103679;1279496;false;1103679;996449
1090374;1253430;false;1090374;863587
1076776;1247997;false;1076776;813019
1085108;1202330;false;1085108;900307
1165012;1216230;false;1165012;948807
1152776;1268376;false;1152776;974722
1154357;1240818;false;1154357;1009922
1164219;1213722;false;1164219;996992
1099967;1244906;false;1099967;677587
1140277;1233952;false;1140277;808474
1168084;1210107;false;1168084;902138
1140141;1249072;false;1140141;978294
1100156;1205258;false;1100156;893597
1161379;1241271;false;1161379;902166
1106361;1243705;false;1106361;960479
1162152;1200324;false;1162152;1037165
1154441;1231815;false;1154441;658679
1176820;1270336;false;1176820;660441
1097913;1274296;false;1097913;763932
1163799;1255367;false;1163799;1071715
1087537;1224048;false;1087537;1020472
1090366;1194946;false;1090366;799798
1134803;1241007;false;1134803;1048592
1172752;1195198;false;1172752;811374
1099576;1214867;false;1099576;857533
1104458;1205821;false;1104458;692868
1121979;1215438;false;1121979;862035
1165013;1275882;false;1165013;792971
1075243;1265548;false;1075243;943026
1102687;1240248;false;1102687;3017431
1092093;1218966;false;1092093;717275
1088639;1244009;false;1088639;3026824
1109810;1219131;false;1109810;1059623
1075224;1195633;false;1075224;838866
1119967;1207300;false;1119967;786635
1106473;1267148;false;1106473;821554
1082534;1241337;false;1082534;993581
1107774;1189031;false;1107774;760307
1085133;1200866;false;1085133;989094
1101797;1213550;false;1101797;1049382
1174366;1238444;false;1174366;1041308
1165445;1220159;false;1165445;856197
1140248;1205718;false;1140248;724774
1165430;1226287;false;1165430;864162
1166240;1259385;false;1166240;717348
1133139;1268403;false;1133139;983143
1076776;1241956;false;1076776;813019
1104102;1197203;false;1104102;832327
1110561;1269041;false;1110561;1013996
1139464;1200422;false;1139464;658807
1101224;1231074;false;1101224;694601
1117292;1195283;false;1117292;953078
1116592;1263400;false;1116592;693399
1156932;1207864;false;1156932;977365
1082652;1271314;false;1082652;861761
1156932;1213202;false;1156932;977365
1100411;1196966;false;1100411;1059617
1097635;1259676;false;1097635;872131
1084684;1215080;false;1084684;1047974
1123299;1207309;false;1123299;721771
1141426;1231795;false;1141426;821681
1090922;1259631;false;1090922;685000
1163806;1199436;false;1163806;931429
1083813;1220193;false;1083813;986953
1086314;1235736;false;1086314;974898
1114717;1195711;false;1114717;979171
1133139;1220147;false;1133139;983143
1159006;1239218;false;1159006;1047965
1143875;1205840;false;1143875;954651
1097462;1230478;false;1097462;686342
1132783;1201403;false;1132783;996385
1076437;1200107;false;1076437;1029615
1167873;1266690;false;1167873;766544
1078132;1215712;false;1078132;957097
1141040;1265528;false;1141040;836640
1160442;1222544;false;1160442;1029148
1119227;1225949;false;1119227;663456
1103681;1239575;false;1103681;999294
1108992;1271727;false;1108992;859141
1166251;1193665;false;1166251;658917
1169494;1279800;false;1169494;741042
1080903;1201352;false;1080903;681580
1142673;1258118;false;1142673;1003112
1117193;1239920;false;1117193;673532
1166243;1205667;false;1166243;692464
1131537;1234983;false;1131537;908881
1169502;1273903;false;1169502;3017350
1113061;1252735;false;1113061;903286
1116901;1214568;false;1116901;931567
1136920;1195204;false;1136920;836447
1133971;1202044;false;1133971;784060
1075181;1209462;false;1075181;739673
1141427;1275106;false;1141427;3012433
1154039;1250277;false;1154039;662191
1121671;1275014;false;1121671;888884
1078443;1189655;false;1078443;1032278
1158582;1190040;false;1158582;690139
1159769;1195203;false;1159769;681885
1136061;1218801;false;1136061;821038
1112633;1262311;false;1112633;1047941
1098226;1209434;false;1098226;1070823
1083405;1219235;false;1083405;3026962
1147540;1265559;false;1147540;1069637
1086314;1210220;false;1086314;974898
1140248;1191536;false;1140248;724774
1107384;1201823;false;1107384;740556
1178861;1210750;false;1178861;1043886
1160335;1270093;false;1160335;1071698
1158183;1210005;false;1158183;1035924
1163813;1255519;false;1163813;3023449
1159768;1254086;false;1159768;675509
1112163;1247330;false;1112163;971698
1107193;1248812;false;1107193;745379
1096630;1262941;false;1096630;698599
1132356;1196421;false;1132356;981104
1135664;1272447;false;1135664;990552
1127059;1227300;false;1127059;837944
1144023;1281519;false;1144023;776334
1107111;1212808;false;1107111;658446
1169115;1242546;false;1169115;874927
1142226;1235725;false;1142226;692993
1173702;1199498;false;1173702;677809
1156945;1264972;false;1156945;1020263
1102834;1267298;false;1102834;904861
1086690;1252658;false;1086690;803661
1148460;1217362;false;1148460;994378
1088342;1211498;false;1088342;782340
1107387;1254092;false;1107387;1047124
1143038;1207302;false;1143038;708291
1088341;1201368;false;1088341;738121
1157552;1204968;false;1157552;698851
