t_id_direccion;t_id_predio
661014;661013
659728;659727
660380;660379
1065264;1065263
874962;874961
661338;661337
660850;660849
661166;661165
661334;661333
658828;658827
1065266;1065265
661474;661473
872083;872082
659424;659423
659410;659409
660940;660939
660416;660415
658896;658895
660692;660691
659706;659705
661412;661411
661436;661435
863917;863916
659051;659050
658892;658891
660958;660957
659586;659585
661164;661163
674305;674304
798500;798499
661128;661127
658684;658683
660988;660987
659376;659375
671913;671912
660000;659999
660352;660351
658998;658997
661352;661351
659612;659611
660670;660669
660838;660837
660188;660187
659772;659771
661380;661379
661006;661005
661545;661544
658583;658582
798588;798587
661354;661353
660974;660973
659694;659693
659000;658999
660700;660699
660451;660450
661535;661534
661174;661173
660678;660677
877080;877079
661104;661103
658387;658386
670545;670544
1065138;1065137
660860;660859
659972;659971
1065140;1065139
658405;658404
659900;659899
660222;660221
660461;660460
659448;659447
659157;659156
660331;660330
856469;856468
659696;659695
659998;659997
1047073;1047072
662042;662041
659476;659475
1058199;1058198
661553;661552
877605;877604
659622;659621
659073;659072
661358;661357
660910;660909
661626;661625
660396;660395
660056;660055
660998;660997
659286;659285
661688;661687
661680;661679
659826;659825
661372;661371
660076;660075
661478;661477
659506;659505
661360;661359
672316;672315
660376;660375
660652;660651
660457;660456
660497;660496
660010;660009
658375;658374
658419;658418
661048;661047
865807;865806
659886;659885
662197;662196
1072414;1072413
660944;660943
660495;660494
1058625;1058624
798532;798531
1057701;1057700
766204;766203
658439;658438
659852;659851
660930;660929
661539;661538
760818;760817
661084;661083
659438;659437
659760;659759
661454;661453
660082;660081
798418;798417
659626;659625
803973;803972
660327;660326
658872;658871
661616;661615
661038;661037
660148;660147
660826;660825
1065258;1065257
929545;929544
658936;658935
660112;660111
660632;660631
659770;659769
659404;659403
672476;672475
659452;659451
661316;661315
660640;660639
673701;673700
659892;659891
1065216;1065215
876979;876978
658765;658764
659722;659721
1065206;1065205
659724;659723
662184;662183
659482;659481
662223;662222
660982;660981
661674;661673
660740;660739
866216;866215
659732;659731
760578;760577
660404;660403
658599;658598
1065260;1065259
659031;659030
660362;660361
674361;674360
660078;660077
659320;659319
658407;658406
1065242;1065241
659588;659587
661384;661383
658810;658809
661265;661264
660212;660211
661348;661347
660412;660411
660902;660901
1065184;1065183
659103;659102
663563;663562
659710;659709
660573;660572
859356;859355
672239;672238
661208;661207
661068;661067
661482;661481
660888;660887
658874;658873
659308;659307
660658;660657
1072418;1072417
659874;659873
661438;661437
662174;662173
659496;659495
659654;659653
660214;660213
660430;660429
660686;660685
660058;660057
658409;658408
661440;661439
659354;659353
659762;659761
660509;660508
659440;659439
669760;669759
877432;877431
659542;659541
1065246;1065245
659946;659945
856471;856470
879914;879913
659784;659783
881421;881420
659522;659521
660453;660452
881705;881704
661110;661109
798502;798501
659312;659311
937574;937573
661414;661413
659394;659393
658425;658424
1065286;1065285
660267;660266
659544;659543
659456;659455
658968;658967
660553;660552
658603;658602
661196;661195
659370;659369
660836;660835
661328;661327
661404;661403
659800;659799
660525;660524
659257;659256
871991;871990
661136;661135
661592;661591
661020;661019
659974;659973
659910;659909
659708;659707
662121;662120
660108;660107
659380;659379
660682;660681
658886;658885
661458;661457
660138;660137
672057;672056
659914;659913
661450;661449
1065262;1065261
660742;660741
661194;661193
659624;659623
661684;661683
673183;673182
661184;661183
660309;660308
658718;658717
864519;864518
1058203;1058202
660778;660777
660714;660713
661058;661057
660424;660423
659422;659421
660088;660087
660050;660049
660483;660482
863868;863867
660434;660433
660535;660534
661448;661447
660046;660045
659830;659829
660440;660439
659130;659129
881384;881383
660818;660817
661144;661143
670780;670779
659756;659755
658383;658382
660980;660979
661002;661001
658832;658831
658844;658843
661676;661675
660650;660649
671323;671322
660368;660367
658437;658436
660780;660779
659580;659579
658902;658901
660595;660594
660537;660536
658996;658995
658373;658372
674420;674419
660186;660185
659980;659979
1065204;1065203
660932;660931
661324;661323
659690;659689
661519;661518
875632;875631
659512;659511
661306;661305
658824;658823
660102;660101
661210;661209
660862;660861
661056;661055
797124;797123
659532;659531
658992;658991
659614;659613
659964;659963
660527;660526
661134;661133
660766;660765
798644;798643
658878;658877
856425;856424
661376;661375
660293;660292
659079;659078
658569;658568
865102;865101
778484;778483
660475;660474
659556;659555
661434;661433
659538;659537
660283;660282
802632;802629
659884;659883
661632;661631
883852;883851
660744;660743
660531;660530
659071;659070
659718;659717
661521;661520
659888;659887
660587;660586
661364;661363
660170;660169
661698;661697
673008;673007
658850;658849
659994;659993
660565;660564
659510;659509
659948;659947
660094;660093
661630;661629
1072416;1072415
660048;660047
659356;659355
661255;661254
659122;659121
660908;660907
660335;660334
660364;660363
660060;660059
829489;829488
661170;661169
661279;661278
661204;661203
659970;659969
660068;660067
661000;660999
660350;660349
659466;659465
661561;661560
661066;661065
856904;856903
659942;659941
658379;658378
660164;660163
660870;660869
660792;660791
660543;660542
660946;660945
660541;660540
658597;658596
659786;659785
660499;660498
659950;659949
797128;797127
659618;659617
661386;661385
671648;671647
659816;659815
660339;660338
878080;878079
661362;661361
660972;660971
658860;658859
659536;659535
659436;659435
659922;659921
658870;658869
658890;658889
660303;660302
661366;661365
661206;661205
1057705;1057704
659766;659765
660034;660033
660036;660035
660398;660397
660990;660989
660722;660721
660824;660823
856473;856472
659362;659361
661537;661536
658771;658770
658854;658853
658365;658364
660597;660596
659306;659305
660762;660761
660822;660821
659340;659339
660040;660039
661160;661159
660776;660775
658429;658428
660228;660227
661126;661125
