t_id_predio;numero_predial;destinacion_economica
1048265;470010110000001600003000000000;Lote_Urbanizado_No_Construido
953810;470010107000001310007000000000;Lote_Urbanizable_No_Urbanizado
790410;470010110000001020001000000000;Lote_Urbanizable_No_Urbanizado
756660;470010002000000021619000000000;Lote_Urbanizable_No_Urbanizado
872117;470010107000000610052000000000;Lote_Urbanizado_No_Construido
986032;470010110000001870001000000000;Lote_Urbanizable_No_Urbanizado
862678;470010110000000320005000000000;Lote_Urbanizable_No_Urbanizado
879776;470010110000000310005000000000;Lote_Urbanizable_No_Urbanizado
868671;470010110000000240001000000000;Lote_No_Urbanizable
1047888;470010107000000150003000000000;Lote_Urbanizable_No_Urbanizado
960315;470010111000003360014000000000;Lote_Urbanizable_No_Urbanizado
662173;470010107000000280903900000112;Lote_Urbanizable_No_Urbanizado
790140;470010002000000051861000000000;Lote_Urbanizable_No_Urbanizado
1065293;470010111000003360008000000000;Lote_Urbanizable_No_Urbanizado
709754;470010106000000310155000000000;Lote_No_Urbanizable
857504;470010001000000020901900001575;Lote_Urbanizable_No_Urbanizado
902436;470010109000003690007000000000;Lote_Urbanizable_No_Urbanizado
1036377;470010110000000630042000000000;Lote_Urbanizado_No_Construido
658971;470010110000000620141000000000;Lote_Urbanizado_No_Construido
829331;470010110000000630045000000000;Lote_Urbanizado_No_Construido
778141;470010107000000020009000000000;Lote_Urbanizado_No_Construido
983978;470010002000000071417000000000;Lote_Urbanizable_No_Urbanizado
1048005;470010110000000380557000000000;Lote_Urbanizable_No_Urbanizado
894137;470010002000000051930000000000;Lote_Urbanizable_No_Urbanizado
919128;470010102000002220002000000000;Lote_Urbanizable_No_Urbanizado
684264;470010107000001520001000000000;Lote_Urbanizado_No_Construido
874122;470010800000000460018000000000;Lote_No_Urbanizable
799579;470010110000000630047000000000;Lote_Urbanizable_No_Urbanizado
839710;470010110000000250152500000025;Lote_Urbanizable_No_Urbanizado
769079;470010106000008240005000000000;Lote_Urbanizable_No_Urbanizado
715632;470010111000003240001500000001;Lote_Urbanizable_No_Urbanizado
772597;470010115000001490015000000000;Lote_Urbanizable_No_Urbanizado
825619;470010110000001500014000000000;Lote_Urbanizado_No_Construido
997683;470010002000000051924000000000;Lote_Urbanizable_No_Urbanizado
742037;470010003000000010901900004027;Lote_Urbanizado_No_Construido
760116;470010110000000220004000000000;Lote_Urbanizable_No_Urbanizado
662992;470010106000011810007500000001;Lote_Urbanizable_No_Urbanizado
766606;470010107000000720035000000000;Lote_Urbanizado_No_Construido
1019528;470010110000000990003000000000;Lote_Urbanizado_No_Construido
988102;470010002000000065673000000000;Lote_Urbanizable_No_Urbanizado
1025405;470010107000000060025000000000;Lote_Urbanizado_No_Construido
734567;470010106000010010004500000001;Lote_Urbanizable_No_Urbanizado
700786;470010002000000051922000000000;Lote_Urbanizable_No_Urbanizado
740495;470010107000000520009000000000;Lote_Urbanizado_No_Construido
876813;470010002000000071424000000000;Lote_Urbanizable_No_Urbanizado
837845;470010110000000670005000000000;Lote_Urbanizado_No_Construido
1002983;470010107000001310003000000000;Lote_Urbanizable_No_Urbanizado
668746;470010110000000300053000000000;Lote_Urbanizable_No_Urbanizado
955379;470010110000001010030000000000;Lote_No_Urbanizable
796244;470010002000000030271500000009;Lote_Urbanizable_No_Urbanizado
882600;470010102000000290011500000001;Lote_Urbanizable_No_Urbanizado
1020022;470010111000000870007000000000;Lote_Urbanizable_No_Urbanizado
789479;470010106000011020002500000001;Lote_Urbanizado_No_Construido
1058208;470010002000000022351000000000;Lote_Urbanizable_No_Urbanizado
929382;470010002000000030271500000007;Lote_Urbanizable_No_Urbanizado
663326;470010110000002560008000000000;Lote_Urbanizable_No_Urbanizado
698638;470010106000011370070000000000;Lote_Urbanizable_No_Urbanizado
664359;470010103000000420008000000000;Lote_Urbanizable_No_Urbanizado
780732;470010115000002280007000000000;Lote_Urbanizable_No_Urbanizado
928849;470010107000000020001000000000;Lote_Urbanizado_No_Construido
970534;470010002000000040509000000000;Lote_Urbanizable_No_Urbanizado
947976;470010110000001810006000000000;Lote_Urbanizado_No_Construido
970601;470010002000000065730000000000;Lote_Urbanizable_No_Urbanizado
1041513;470010110000000130006000000000;Lote_Urbanizable_No_Urbanizado
952736;470010107000000020014000000000;Lote_Urbanizado_No_Construido
948203;470010102000002500903900000486;Lote_No_Urbanizable
968597;470010115000003930024000000000;Lote_Urbanizable_No_Urbanizado
705146;470010110000000810001000000000;Lote_Urbanizado_No_Construido
1030301;470010110000000130012000000000;Lote_Urbanizable_No_Urbanizado
912847;470010003000000010225500000195;Lote_Urbanizable_No_Urbanizado
844523;470010110000002430013000000000;Lote_Urbanizado_No_Construido
927735;470010002000000071429000000000;Lote_Urbanizable_No_Urbanizado
982774;470010108000000140001000000000;Lote_Urbanizado_No_Construido
1047945;470010107000000740003000000000;Lote_Urbanizado_No_Construido
931150;470010106000001140315500000001;Lote_Urbanizado_No_Construido
712567;470010110000001050026000000000;Lote_Urbanizable_No_Urbanizado
