t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1241497;20181;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1207932;14540;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1197260;46213;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1230292;1915;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1201920;18720;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210315;17956;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1262210;40511;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1234772;24878;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1269396;6008;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1188511;32684;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1235142;10208;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1219872;25543;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1234190;71169;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1271571;40169;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1247541;29454;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1252295;83572;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1209695;21964;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1223294;29090;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1262887;42036;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1212013;11295;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1195225;65459;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1233090;10569;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1223538;40229;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1223928;68478;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1248362;39593;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1237558;38888;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1210241;68969;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1262240;39765;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1201138;66729;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1255608;5510;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249745;67509;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1252983;83852;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1205712;3528;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1195824;41336;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1211907;46434;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1249610;45264;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210450;56845;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1252421;29282;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1227713;26514;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1248690;16162;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1207941;42347;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1245544;2594;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1211369;54780;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210698;47198;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1212811;16438;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1272714;42539;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1204178;29578;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1213989;8975;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210276;7278;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
