t_id_predio;t_id_terreno_1;t_id_terreno_2
839809;1124599;1146764
882089;1085875;1080359
919776;1073849;1085123
660522;1073099;1113475
949098;1174824;1092524
668169;1141427;1073849
789343;1073875;1177120
661457;1091514;1073837
997679;1073556;1125664
1043803;1085665;1106730
805637;1105168;1095190
658477;1073917;1173823
927553;1073739;1142738
869155;1173553;1097902
661375;1137271;1073566
940435;1097963;1076546
1048988;1101041;1072959
748890;1081811;1143148
932476;1173857;1164001
733830;1157081;1113783
1034646;1077023;1154235
981496;1073837;1162093
828919;1150078;1136873
914592;1121657;1167849
731322;1088183;1118250
925490;1115574;1103305
758575;1086348;1112446
905756;1073674;1133402
661173;1095400;1072503
689234;1140442;1134999
919186;1106460;1119516
940435;1097963;1104982
870896;1093856;1085602
1058160;1148181;1073966
759999;1159276;1073015
753274;1163202;1143719
975243;1131367;1112888
895255;1100547;1137031
659703;1094435;1072677
981110;1144507;1074628
936299;1114049;1100191
668900;1090657;1073641
785532;1178305;1168667
718507;1081206;1073837
658683;1102261;1073631
1007998;1147821;1072590
891573;1085875;1093134
758996;1100688;1100298
661520;1090267;1073669
658839;1072465;1126952
831798;1132512;1097963
853632;1167296;1079114
668169;1155816;1073849
1058160;1073966;1080359
836343;1089701;1158339
962526;1089562;1135255
945263;1100298;1088253
720481;1108482;1118235
970980;1118349;1150685
880740;1100547;1124161
1040094;1077926;1076684
668169;1073849;1130443
926369;1137227;1073555
758996;1092162;1100298
662489;1073568;1105619
696343;1091914;1114530
808789;1120901;1072836
658855;1073602;1109649
863312;1073556;1090188
715697;1130092;1172948
800076;1146690;1100298
934875;1082039;1172189
840941;1150742;1128813
1020949;1107412;1072958
960078;1100547;1073840
999485;1169744;1156414
661351;1075233;1073550
661155;1072486;1149627
679013;1118599;1134999
844443;1097963;1089580
915450;1085976;1092672
1001371;1099824;1128870
927263;1164290;1148683
678116;1076001;1171212
1033496;1157543;1099824
981498;1149526;1138782
1038437;1148058;1083577
698348;1085976;1122700
1066895;1089886;1159002
966537;1073903;1153984
771194;1122863;1073496
660713;1093381;1073197
