t_id_predio;numero_predial;matricula_inmobiliaria
783213;470010102000000200103000000000;
674221;470010103000001120023000000000;
874029;470010106000006550023000000000;
891834;470010106000001580102000000000;
912901;470010101000000270011000000000;
699634;470010003000000010057000000000;
694707;470010001000000022116000000000;
753013;470011000000000140008000000000;
924704;470010900000001170029000000000;
733239;470010103000007310060000000000;
723426;470010112000003230002000000000;
841674;470010006000000020029000000000;
775275;470010003000000011361000000000;
943049;470010101000000210020000000000;
697439;470010106000006400012000000000;
719457;470010106000000560055000000000;
924839;470010106000001140285000000000;
841657;470010005000000010328000000000;
818068;470010002000000020250000000000;
970502;470010103000000300009000000000;
924555;470010900000002040005000000000;
785450;470011000000000140022000000000;
754942;470010106000000620015000000000;
943699;470010103000003830022000000000;
690253;470010006000000020227000000000;
840246;470010106000000710022000000000;
874112;470010006000000010688000000000;
791610;470010106000001530010000000000;
799547;470010106000010890022000000000;
703686;470010102000000230037000000000;
754917;470010103000003870006000000000;
842500;470010106000000770005000000000;
875832;470010103000006220011000000000;
895006;470010114000001540009000000000;
863724;470010102000002570017000000000;
707062;470010106000011250008000000000;
813120;470010106000003730010000000000;
738985;470010109000001950018000000000;
825905;470010106000004240084000000000;
708484;470010002000000022093000000000;
894712;470010006000000020281000000000;
771954;470010003000000011891000000000;
834226;470010114000001440007000000000;
850377;470010102000000160034000000000;
849653;470010106000008240023000000000;
696845;470010900000000080005000000000;
964430;470010104000000430001000000000;
697953;470010106000009230024000000000;
1047346;470010900000001630025000000000;
809244;470010102000000290013000000000;
721966;470010106000002640066000000000;
712419;470010106000005000007000000000;
967572;470010106000001180013000000000;
944576;470010003000000013708000000000;
887084;470010106000002640133000000000;
711353;470010102000003660003000000000;
971740;470010106000001300040000000000;
771180;470010007000000020115000000000;
834539;470010102000000010013000000000;
789802;470010103000001710139000000000;
761559;470010106000008970001000000000;
704529;470010109000003840001000000000;
896425;470010106000000710013000000000;
934003;470010106000009510019000000000;
840691;470010103000003360130000000000;
772356;470010003000000012243000000000;
917075;470010003000000012255000000000;
773888;470010106000001140103000000000;
848703;470010102000001000006000000000;
772987;470010103000007310100000000000;
888709;470010102000000320004000000000;
767130;470010114000000250018000000000;
790634;470010113000000840141000000000;
917192;470010003000000030382000000000;
919982;470010003000000013772000000000;
884225;470010109000000270005000000000;
918286;470010106000011240050000000000;
952055;470010103000001700025000000000;
892413;470010106000004270023000000000;
669652;470010103000004620117000000000;
975946;470010106000007210001000000000;
891977;470010003000000013631000000000;
890118;470010106000008240024000000000;
694498;470010106000001130043000000000;
977396;470010106000000410110000000000;
742093;470010114000001500008000000000;
881723;470010003000000012513000000000;
785482;470010101000002300030000000000;
760589;470010008000000020133000000000;
897685;470010106000009800018000000000;
890582;470010106000000880003000000000;
