t_id_predio;numero_predial;t_id_tramitecatastral
676185;470010104000001010902900000153;1187387
758487;470010002000000070801800001971;1179880
829488;470010004000000010060000000000;1187640
1020202;470010113000000310003000000000;1180018
883879;470010002000000070905912050240;1182800
868653;470010002000000070903910010182;1184286
938447;470010002000000070803800007079;1186375
779348;470010109000002580801800000047;1187527
960549;470010002000000070905914030272;1186632
965659;470010106000000560095000000000;1185685
1059416;470010104000000930906902030497;1180131
819523;470010106000007550023000000000;1183389
746185;470010002000000070801800007040;1186047
975344;470010002000000020510000000000;1185591
699509;470010115000001730012000000000;1179693
918340;470010115000003850033000000000;1187507
1059462;470010002000000076901905070516;1180459
720649;470010002000000070905905050098;1181304
957365;470010800000001180013000000000;1180385
3022408;470010002000000070905919010363;1186504
863144;470010004000000080044000000000;1185898
788383;470010104000000930906902020471;1180195
908269;470010115000006790901900000081;1184041
697792;470010102000002320902900000095;1183997
965636;470010102000003770901900000001;1185746
1069118;470010002000000070902904030070;1185440
1055733;470010101000001320901900000026;1180418
1013493;470010106000000560901901030023;1182537
922613;470010115000006650902900002055;1180135
1065229;470010107000001210904904060227;1187564
693767;470010002000000076901908010155;1184781
749129;470010102000002190021000000000;1179373
1027328;470010106000000560901902070113;1182321
817801;470010002000000076901903070391;1181526
863710;470010900000001750004000000000;1180832
1066287;470010107000000100901900000025;1180369
1047844;470010103000007630013000000000;1186178
3021604;470010002000000070905908010142;1186525
1023583;470010105000002720901900000420;1179061
953443;470010106000006010011000000000;1180875
1016326;470010106000000560901903070183;1179043
962047;470010002000000060918900007554;1187739
677907;470010003000000012674000000000;1182021
919617;470010108000000010901904011301;1179784
682498;470010002000000076901906020544;1182416
774064;470010002000000022921000000000;1180504
912603;470010108000000060902902110123;1184413
883875;470010002000000070905920050398;1182756
1069128;470010002000000070902906020106;1185251
739073;470010107000000300902901010074;1187469
1069294;470010002000000070905912010223;1182882
773391;470010102000002420020000000000;1182074
741005;470010002000000070903904010063;1183429
1023766;470010108000000060902902140139;1184459
3023875;470010002000000076901903040362;1187983
989022;470010106000000560901905020263;1186816
1043772;470010104000000930906901100248;1184670
704350;470010104000000930906901000263;1181035
966146;470010002000000070905925050500;1185145
1039244;470010103000003570024000000000;1186315
751242;470010107000001440903900000141;1179887
703292;470010002000000040801800003949;1181050
