t_id_predio;numero_predial;matricula_inmobiliaria
783849;470010002000000070801800007049;101942
1034308;470010115000000790801800000044;87184
861212;470010103000000570801800000027;60804
692662;470010107000000560802800000088;43123
1061745;470010106000007730801800000006;67076
822358;470010107000000560801800000067;40280
796527;470010109000002580801800000079;51289
1060742;470010001000000020801800002410;151702
929656;470010002000000050802800000383;68548
684403;470010103000000110801800000043;49688
677577;470010106000007020801800000013;51050
789190;470010106000007680801800000020;63318
828247;470010002000000050801800000108;73623
920338;470010002000000070803800002176;131422
884166;470010900000001090801800000008;65248
926192;470010105000002070801800000033;30711
1002142;470010004000000020801800000333;60533
764798;470010001000000020801800002414;151693
953085;470010107000000450801800000003;5379
665977;470010112000000940801800000114;51765
964450;470010106000007020801800000003;51040
836267;470010106000007060801800000002;51076
677684;470010104000001070801800000023;65577
953031;470010109000002580801800000377;51531
878722;470010004000000020801800000343;60543
844009;470010002000000040801800003959;103773
739579;470010107000000630801800000013;34211
677809;470010108000000160801800000009;31778
997498;470010106000007100801800000002;51120
860912;470010102000003190801800000031;73154
692397;470010112000000940801800000137;51788
1071659;470010107000001050801800000112;81237
714173;470010110000000460801800000014;38944
1030194;470010002000000040801800004973;111265
735099;470010107000000450801800000005;10013
877133;470010112000000940801800000119;51770
686128;470010110000000460801800000077;39007
782391;470010111000002880801800000077;60327
675485;470010107000000560801800000066;40279
795426;470010109000002580801800000024;51227
836110;470010112000000940801800000068;51719
1029773;470010107000001050801800000097;79688
925314;470010115000000790801800000042;87182
1069088;470010002000000050801800000281;73798
745027;470010109000002580801800000384;51538
987602;470010004000000020801800000352;60552
951841;470010002000000070803800007113;133960
1041240;470010107000000420801800000030;10299
806745;470010002000000050802800000362;68527
685590;470010107000000810802800000339;79490
1012301;470010103000000590801800000050;57087
808073;470010002000000070802800002088;115126
824494;470010107000000810801800000313;871
1062377;470010002000000070804800007127;131454
944489;470010107000000440801800000007;1418
1010443;470010001000000020801800002377;130582
678354;470010103000000110801800000005;49697
1057542;470010002000000070804800007169;131481
965024;470010002000000050801800000205;73672
1039313;470010002000000060801800004707;107290
692260;470010111000002880801800000119;60369
1028018;470010109000002580801800000206;51422
862832;470010110000000460801800000057;38987
908668;470010109000002580801800000256;51473
873207;470010002000000040801800004972;111264
665297;470010112000000940801800000064;51715
989504;470010002000000070801800007207;138783
830862;470010002000000070801800007050;121906
809112;470010001000000020802800001532;61877
957091;470010107000000880801800000049;39681
910061;470010110000000400801800000523;25402
849214;470010103000000110801800000037;49682
775623;470010002000000060801800004679;107261
845791;470010002000000070801800001961;112775
1071936;470010107000001380801800000034;36915
966344;470010110000000730802800000013;59255
801534;470010106000007680801800000002;63376
865701;470010110000000540801800000001;41960
1071598;470010107000001050801800000067;24163
950837;470010109000002580801800000312;51504
906607;470010002000000050801800000185;73688
1071505;470010107000000990801800000050;60027
780033;470010103000000570801800000012;60788
684171;470010112000000940801800000347;58288
882537;470010102000001090801800000010;31316
788282;470010112000000940801800000117;51768
909086;470010104000001070801800000021;65575
1007692;470010103000000450801800000097;38765
718010;470010109000002580801800000228;51445
909380;470010002000000060801800004673;107255
676395;470010109000000130801800000017;57696
