t_id_predio;numero_predial;matricula_inmobiliaria
793272;470010103000002320009000000000;10102050009664
977328;470010106000000160011000000000;10104500061573
805408;470010102000000930001000000000;10300630005156
752748;470010103000003500011000000000;10504410036859
833988;470010109000001280001000000000;10102350031559
877390;470010109000001590010000000000;10102350031559
924143;470010103000001630020000000000;10101730024662
673499;470010103000003570017000000000;10100240003351
796101;470010103000002150009000000000;10202320029956
670578;470010103000000440003000000000;10301700013059
929432;470010106000001760008000000000;10200080055971
711551;470010103000003550006000000000;10100240003351
988626;470010103000003700004000000000;10300940014254
814858;470010109000001640009000000000;10102350031559
709840;470010109000001670031000000000;10102350031559
689072;470010106000001770011000000000;10200080055971
689985;470010103000001660019000000000;20101530047672
881583;470010103000003600002000000000;10100240003383
701485;470010102000000430010000000000;20100850007253
820972;470010102000000020002000000000;20103030036054
832435;470010103000002380001000000000;10100240003351
918618;470010109000001620011000000000;10102350031559
687471;470010109000001520019000000000;10102350031559
1004379;470010113000000120013500000006;20200040000655
942340;470010104000000230006000000000;10202810064863
833177;470010002000000010446000000000;10302910030161
833714;470010102000003820018000000000;10101920035667
966086;470010109000000980011000000000;10102050030559
892737;470010104000001430034000000000;10203530088569
777779;470010102000000940013000000000;10203250088266
999700;470010103000003100017000000000;1030170013059
697756;470010103000003170020000000000;10300950014254
874153;470010109000001240016000000000;10102350031559
778847;470010109000000960008000000000;10102050030559
977604;470010105000000960007000000000;10102610054271
876068;470010101000000580026000000000;20203330032157
943234;470010106000000850013000000000;10200080055971
937453;470010101000000680040000000000;10101620020750
734009;470010103000002130003000000000;10300760012154
921334;470010101000001080012000000000;20203770075268
833315;470010106000000790014000000000;20102240008768
705643;470010102000002130009000000000;10201300015347
722289;470010106000000080001000000000;10201830031075
781740;470010101000001530051000000000;10200870015553
847821;470010106000000420018000000000;10402180019859
805379;470010102000000880002000000000;10104310045570
880672;470010101000000680039000000000;10105280005545
697146;470010106000002670011000000000;10200080055971
664674;470010005000000010119000000000;10104910015872
731668;470010105000001040010000000000;10102610054271
711427;470010109000001640023000000000;10102350031559
705823;470010101000000430018000000000;20204080041257
974393;470010900000000190001000000000;10100220007061
850645;470010102000003360015000000000;10303790047558
914714;470010101000001940036000000000;20101500000259
928988;470010102000001060015000000000;10201890048068
725296;470010102000002440014000000000;10101800005067
674951;470010106000001130020000000000;10101840023765
701079;470010102000002340002000000000;20101620051472
1046947;470010109000001690009000000000;10102350031559
842692;470010109000000980015000000000;10102050030559
973886;470010103000003670007000000000;10100240003351
714157;470010109000001090002000000000;10101050031559
706221;470010103000003750014000000000;10300940014254
847045;470010101000001960011000000000;20203250056368
784866;470010102000001370009000000000;10201920035667
817943;470010109000001210013000000000;10102350031559
834578;470010106000000870009000000000;20300790031072
724536;470010103000000030004000000000;10104470035071
784927;470010102000001410013000000000;10101920035667
762195;470010109000001240032000000000;10102350031559
884318;470010109000001040001000000000;10102050031559
798817;470010102000000630014000000000;020300600005256
733591;470010103000001740013000000000;10103420000262
830519;470010102000001840006000000000;10103050005164
717231;470010109000001060017000000000;10101050031559
667146;470010102000002600017000000000;10200060000558
716105;470010109000001570011000000000;10102350031559
851457;470010001000000040046000000000;10201400038768
851184;470010107000000910006000000000;101021600061731932
842616;470010106000001770008500000001;10200080055971
928368;470010103000005720006000000000;10301700013059
752518;470010109000001920015000000000;10104350035267
696474;470010103000000160035000000000;10103970051673
795105;470010103000004450004000000000;10102050009664
918417;470010109000000980012000000000;10102050030559
687368;470010109000001120001000000000;10102050031559
925873;470010102000003490010000000000;10101920035676
849040;470010109000001580008000000000;10102350031559
698035;470010101000001520007000000000;10200300003947
717891;470010109000001670024000000000;10102350031559
941770;470010103000000260015000000000;10103630097871
920967;470010102000003820017000000000;10101920035667
736772;470010101000000640034000000000;10101130016851
817476;470010102000001220009000000000;10101920035667
975553;470010106000000420005000000000;10203290081969
895591;470010102000001000003000000000;20201460067765
852788;470010103000002130007000000000;10101270096465
790080;470010102000002690004000000000;20104490038955
705966;470010103000002180003000000000;10102450018467
883819;470010103000007520004000000000;10100240003351
871615;470010104000000420004000000000;10302410023861
702545;470010109000001780019000000000;10104350035267
666236;470010109000001290021000000000;10102350031559
674328;470010103000001750024000000000;10200670003665
937777;470010102000002620005000000000;10200010013970
689190;470010101000000640026000000000;10204310109466
734185;470010101000001800016000000000;10101410012545
976759;470010102000003480005000000000;10101920035676
970554;470010103000007520003000000000;10100240003351
762052;470010101000000440019000000000;10203360078768
813752;470010105000001040020000000000;1012610054271
976198;470010101000000870027000000000;20202600070864
882541;470010109000001440007000000000;10102350031559
897288;470010101000001050024000000000;10202710047153
702579;470010109000003450005000000000;10102350031559
816489;470010101000000480016000000000;101058250002958
762530;470010103000000670013000000000;10200140000758
918452;470010109000001090011000000000;10101050031559
884983;470010109000001230010000000000;101002350031559
742736;470010109000001280007000000000;10102350031559
976064;470010103000003110009000000000;10301700013059
714329;470010112000000090004000000000;10104440001569
889339;470010101000000630034000000000;10101440015938
819471;470010109000001010001000000000;10102050031559
675534;470010109000001950007000000000;101043500352
814907;470010109000001920003000000000;10104350035267
781967;470010101000001500015000000000;20201780059766
673806;470010114000000310004000000000;1100380000032
691141;470010102000000950014000000000;10201870055869
688673;470010109000000970012000000000;10101050031559
741914;470010109000001450008000000000;10102350031559
894413;470010106000001770003000000000;10200080055971
706314;470010109000001670029000000000;10102350031559
1045929;470010103000000510009000000000;10200710041869
716711;470010103000003820007000000000;10302850020556
803055;470010103000003120011000000000;10301700013059
