t_id_predio;t_id_terreno_1;t_id_terreno_2
753342;1156042;1166485
926201;1083266;1111668
769605;1092963;1136729
998852;1111755;1171171
970316;1073391;1101002
883856;1139304;1162940
814711;1146305;1128418
1035753;1115137;1082429
837798;1144061;1132006
794020;1131103;1112381
1006957;1112731;1111311
659185;1126098;1150877
940004;1112317;1111072
706074;1145698;1112255
899494;1112606;1101867
779869;1172129;1085945
965347;1111236;1146457
725458;1175596;1112349
733491;1111729;1136723
736992;1088031;1111867
769605;1136729;1119716
1011079;1133366;1111464
750484;1112448;1079046
720687;1073619;1084219
1062209;1112756;1107109
1053971;1085375;1162591
788879;1111953;1147752
833487;1176402;1091379
748283;1112403;1148804
691859;1112503;1097710
742237;1112043;1138028
1031648;1150079;1125771
725235;1112633;1160126
747411;1112513;1111956
851720;1174946;1111574
680971;1139304;1113823
749852;1177496;1112366
932500;1112273;1112277
870335;1112448;1094567
959651;1085945;1128433
939598;1107425;1111427
843717;1139304;1080137
1067837;1161250;1112283
683792;1112167;1082415
774288;1143301;1166615
950442;1112503;1113481
842820;1112252;1119298
1069664;1111397;1169841
731723;1108131;1111533
738501;1169176;1111914
779881;1112499;1135670
922018;1077357;1075160
1048061;1112379;1138190
828867;1149848;1114914
794252;1084584;1085761
714943;1162002;1160251
819676;1132628;1084584
958018;1123453;1139203
803772;1112312;1121692
731723;1111533;1156047
779869;1085945;1075148
1066471;1174866;1131685
909508;1106607;1112346
769605;1136729;1132009
770241;1113221;1082429
989819;1090142;1112253
883856;1139304;1142819
702737;1106000;1111513
883856;1161906;1139304
1058777;1109884;1112729
725364;1111672;1174388
1058777;1122293;1112729
743441;1101088;1112121
909546;1073445;1119773
678507;1177560;1078855
763690;1145478;1094668
751361;1144804;1112552
912880;1073910;1139304
1055135;1158582;1076859
796469;1125328;1153207
770291;1101174;1082429
685982;1111939;1149742
861210;1139304;1145205
843563;1173893;1115523
783449;1111672;1113306
677676;1146024;1144764
983952;1127265;1084584
749248;1131658;1112267
836279;1169029;1159293
749487;1112333;1141562
1022094;1144205;1112142
676576;1091116;1155174
733246;1168661;1118851
