t_id_predio;numero_predial;destinacion_economica;t_id_construccion;t_id_unidadconstruccion
984324;470010002000000022564000000000;Lote_Urbanizable_No_Urbanizado;;1191598
858202;470010105000001150045000000000;Lote_Urbanizable_No_Urbanizado;101481;
792620;470010002000000065730000000000;Lote_Urbanizable_No_Urbanizado;165501;
935230;470010115000005540002000000000;Lote_Urbanizable_No_Urbanizado;182218;
1028905;470010110000000930005000000000;Lote_Urbanizable_No_Urbanizado;262732;
1011733;470010111000000870007000000000;Lote_Urbanizable_No_Urbanizado;205350;
814691;470010102000000290011500000001;Lote_Urbanizable_No_Urbanizado;158662;
731363;470010106000012040020500000001;Lote_Urbanizable_No_Urbanizado;273270;
818386;470010110000000050014000000000;Lote_Urbanizable_No_Urbanizado;259297;
1056492;470010110000000040002000000000;Lote_Urbanizable_No_Urbanizado;224112;
858845;470010111000003240001500000001;Lote_Urbanizable_No_Urbanizado;176432;
922333;470010110000000630041000000000;Lote_Urbanizable_No_Urbanizado;;1224121
1009035;470010002000000051918000000000;Lote_Urbanizable_No_Urbanizado;247221;
683158;470010104000000910064000000000;Lote_Urbanizable_No_Urbanizado;203820;
797658;470010002000000020559500000001;Lote_Urbanizable_No_Urbanizado;276734;
1065080;470010110000001860001000000000;Lote_Urbanizable_No_Urbanizado;;1194989
817662;470010110000000130008000000000;Lote_Urbanizable_No_Urbanizado;;1278286
1006957;470010110000001030001000000000;Lote_Urbanizable_No_Urbanizado;250682;
993743;470010002000000071421000000000;Lote_Urbanizable_No_Urbanizado;;1194503
817971;470010110000000220005000000000;Lote_Urbanizable_No_Urbanizado;201168;
1024321;470010110000000130012000000000;Lote_Urbanizable_No_Urbanizado;;1209195
961576;470010111000002480003000000000;Lote_Urbanizable_No_Urbanizado;101537;
792498;470010002000000051916000000000;Lote_Urbanizable_No_Urbanizado;;1187808
781092;470010002000000071420000000000;Lote_Urbanizable_No_Urbanizado;;1213280
661690;470010002000000071439000000000;Lote_Urbanizable_No_Urbanizado;;1211724
673390;470010111000003370001000000000;Lote_Urbanizable_No_Urbanizado;174251;
660965;470010115000003820038000000000;Lote_Urbanizable_No_Urbanizado;146250;
792187;470010002000000020870000000000;Lote_Urbanizable_No_Urbanizado;;1253397
808284;470010110000001830002500000001;Lote_Urbanizable_No_Urbanizado;176931;
1061141;470010002000000051938000000000;Lote_Urbanizable_No_Urbanizado;;1267804
926230;470010002000000065545000000000;Lote_Urbanizable_No_Urbanizado;131758;
677462;470010112000003090005000000000;Lote_Urbanizable_No_Urbanizado;158093;
785462;470010002000000071426000000000;Lote_Urbanizable_No_Urbanizado;93247;
828201;470010102000001400017000000000;Lote_Urbanizable_No_Urbanizado;123353;
