t_id_copropiedad;t_id_unidadpredial;t_id_prediomatriz;coeficiente
3021344;3021342;1041657;0.0000000000
3021815;3021813;1041657;0.0000000000
3009842;3009840;1033788;0.0000000000
1048845;1048843;1033788;0.0000000000
3023495;3023493;1048856;0.0000000000
3023042;3023040;1033788;0.0000000000
3022916;3022914;1033788;0.0000000000
1038957;1038955;1033788;0.0000000000
1020698;1020696;995781;0.0000000000
3021743;3021741;1033788;0.0000000000
3012548;3012546;1033788;0.0000000000
3023507;3023505;1033788;0.0000000000
3021335;3021333;1033788;0.0000000000
3023693;3023691;1033788;0.0000000000
1035164;1035162;1033788;0.0000000000
3022301;3022299;1033788;0.0000000000
3015011;3015009;1033788;0.0000000000
940192;940188;940188;0.0000000000
3018560;3018558;1033788;0.0000000000
1038316;1038314;940188;0.0000000000
3022310;3022308;1048856;0.0000000000
3023030;3023028;1033788;0.0000000000
989528;989526;940188;0.0000000000
3023210;3023208;1033788;0.0000000000
968664;968662;958856;0.0000000000
3019973;3019971;1048856;0.0000000000
3008291;3008289;1033788;0.0000000000
3021239;3021237;1033788;0.0000000000
1028871;1028869;1026749;0.0000000000
3024344;3024342;1048856;0.0000000000
3018035;3018033;1033788;0.0000000000
3011543;3011541;1033788;0.0000000000
1043962;1043960;1033788;0.0000000000
3022883;3022881;1033788;0.0000000000
3009080;3009078;1033788;0.0000000000
3017735;3017733;1033788;0.0000000000
3012104;3012102;940188;0.0000000000
991308;991306;940188;0.0000000000
3010679;3010677;1033788;0.0000000000
3021128;3021126;1026749;0.0000000000
3024773;3024771;1033788;0.0000000000
3024284;3024282;1048856;0.0000000000
3021137;3021135;1026749;0.0000000000
3008696;3008694;1041657;0.0000000000
3023291;3023289;1041657;0.0000000000
3018257;3018255;1033788;0.0000000000
3022706;3022704;1041657;0.0000000000
3021884;3021882;1033788;0.0000000000
3022772;3022770;1033788;0.0000000000
3016307;3016305;1056438;0.0000000000
3024611;3024609;1033788;0.0000000000
3022004;3022002;1033788;0.0000000000
1064259;1064257;1033788;0.0000000000
3022949;3022947;1033788;0.0000000000
3012281;3012279;1033788;0.0000000000
1064256;1064254;1033788;0.0000000000
1041526;1041524;1033788;0.0000000000
3006755;3006753;958856;0.0000000000
