t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
894105;470010108000000140011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
812100;470010110000000650006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
957631;470010108000000140001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794848;470010116000002180014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
671759;470010110000000020007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938090;470010116000002110001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
686063;470010107000000570007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794741;470010110000002310002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
821243;470010107000000510001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1006461;470010110000001810010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958586;470010110000001730001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
791256;470010110000000950010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934281;470010110000000570003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
818038;470010110000000080013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794630;470010002000000020884000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
843663;470010110000001820052000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666481;470010110000001260038000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958262;470010107000000570047000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
723965;470010107000000080030000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
797340;470010110000000670008000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
804271;470010104000000730026000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
811054;470010108000000030005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
802753;470010110000001140012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
957857;470010104000001500011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934246;470010110000000250003500000048;Informal;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938349;470010116000002140002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
793382;470010116000002120013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
675535;470010110000001070012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958018;470010111000001120069000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958201;470010110000002430010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934204;470010110000001470005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1024984;470010110000000810007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
717762;470010110000000080018000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
851121;470010103000001710470000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
830386;470010110000000810001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961664;470010002000000021363000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
990478;470010107000000090045000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
764311;470010103000010970010500000001;Parque_Cementerio.Unidad_Predial;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
664420;470010108000000020011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
989596;470010108000000030014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1049466;470010107000000380007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958217;470010107000000250004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
672604;470010002000000020891000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1030651;470010115000006460006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794666;470010104000000730022000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
668221;470010110000000090002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960711;470010002000000020896000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
804235;470010104000000730016000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794677;470010108000000190054000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
817628;470010110000000110016000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
833109;470010110000000790004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
763889;470010002000000022280000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1052500;470010113000000780117000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1042613;470010110000002220001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
690661;470010107000000160013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
817992;470010110000000080014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958126;470010108000000090017000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
714443;470010110000000020022000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
809443;470010110000002530003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794862;470010116000002180019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
861082;470010116000002140003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
921912;470010107000000690024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
