t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
60885;A;72.1;
74092;A;0.0;
53633;A;47.6;
53671;A;55.9;
52785;A;67.7;
84041;A;31.4;
77306;A;53.7;
75413;A;0.0;
60968;A;41.8;
60873;A;41.8;
60836;A;60.3;
84176;A;55.9;
60944;A;72.1;
53632;A;47.6;
60922;A;60.3;
60848;A;41.8;
60898;A;41.8;
60872;A;41.8;
53435;A;55.9;
84051;A;67.7;
84048;A;67.7;
60870;A;72.1;
46100;A;0.0;
75080;A;67.7;
49481;A;0.0;
53349;A;55.9;
84175;A;47.6;
84061;A;67.7;
60847;A;60.3;
73369;A;67.7;
78587;A;31.4;
18344;A;31.4;
74839;A;0.0;
61889;A;67.7;
54474;A;47.6;
60995;A;60.3;
75342;A;67.7;
81049;A;53.7;
19280;A;78.5;
53381;A;47.6;
80084;A;61.5;
60945;A;72.1;
84073;A;67.7;
78729;A;67.7;
81709;A;31.5;
60942;A;72.1;
60837;A;60.3;
53398;A;47.6;
84201;A;47.6;
84762;A;0.0;
84765;A-1;0.0;
76732;A;31.4;
60914;A;60.3;
53609;A;47.6;
50887;A;67.7;
43718;A;0.0;
60979;A;60.3;
53399;A;47.6;
60842;A;60.3;
29413;A;0.0;
74705;A;0.0;
14494;A;53.7;
82191;A;53.7;
60964;A;41.8;
58410;A;67.7;
73737;A;0.0;
60994;A;60.3;
84763;A;114.7;
53620;A;47.6;
49921;A;67.7;
60851;A;41.8;
60971;A;41.8;
53126;A;568.5;
60978;A;60.3;
53421;A;55.9;
74772;A;67.7;
73852;A;67.7;
60910;A;60.3;
53553;A;55.9;
79688;A;73.8;
77761;A;67.7;
74795;A;0.0;
60918;A;60.3;
74618;A;0.0;
76029;A;0.0;
60917;A;60.3;
54319;A;67.7;
79212;A;67.7;
74180;A;0.0;
53068;A;47.6;
7619;A;53.7;
84062;A;67.7;
84049;A;67.7;
60861;A;41.8;
55422;A;67.7;
14051;A;53.7;
66604;A;0.0;
80873;A;73.8;
53554;A;47.6;
60865;A;72.1;
53407;A;47.6;
78069;A;67.7;
77571;A;78.5;
84610;C-12;626.4;
60928;A;60.3;
84038;A;0.0;
84207;A;47.6;
73632;A;67.7;
10358;A;31.4;
60957;A;72.1;
45085;A;0.0;
33286;A;0.0;
78499;A;73.8;
60925;A;60.3;
75765;A;0.0;
60888;A;72.1;
26107;A;0.0;
49569;A;67.7;
42170;A;0.0;
68673;A;0.0;
60954;A;72.1;
54912;A;47.6;
60880;A;41.8;
57710;A;67.7;
55650;A;47.6;
61005;A;60.3;
53337;A;0.0;
76425;A;53.7;
60899;A;41.8;
84206;A;47.6;
49525;A;0.0;
60830;A;60.3;
74136;A;0.0;
84184;A;47.6;
