t_id_caracterististica_unidadconstruccion;identificador
33286;A
18871; 
56458;A
42682;C
40400;A
52427;A
42434;A
49481;A
60864;A
57728;C
52610;A
79777;A
4797;A
60858;A
69834;B
48047;A
12817;A
80460;C
8386;A
8468; 
4510;A
52956;A
61323;C
84068;A
34227;A
61010;A
4800;A
84002;C
60930;A
30127;A
61453;A
76557;A
38121;C
34156;A
11064;A
52290;A
75694;A
84026;A
10415;A
61219;A
78415;B
60993;A
16368; 
49657;A
71930;A
60823;A
68210;C
10503;A
84059;A
53433;A
13247;A
11066;A
61004;A
74180;A
60885;A
69250;C
7839;A
84194;A
77487;C
37598;A
36278;A
60979;A
22445;A
64133;A
62774;A
60969;A
44842;A
13612;B
84177;A
26067;A
15639;A
72894;C
61218;C
8560;A
84208;A
59246;A
50228;A
59640;A
61671;D
28474;A
63706;C
3508;A
4791;A
84173;A
65036;C
53109;C
46056;A
22643;A
15028;A
9048;A
75588;A
60860;A
2270;A
9047;A
28247;A
22070;A
83523;C
57671;A
76117;A
60950;A
75036;A
61552;B
80961;A
60886;A
74034;A
4789;A
84202;A
84193;A
36276;A
11806; 
45748;A
60878;A
84176;A
37665;A
45129;A
13605;A
81520;C
33308;A
73871;A
73384;A
55966;C
61220;B
26372;A
4525;A
82026;C
56708;B
43359;C
60844;A
10504;A
50618;B
10150;A
73676;A
51371;A
6496; 
31062;A
36279;A
78729;A
60903;A
52563;NULL
4796;A
60931;A
72891;E
60980;A
29725;A
6600;A
60929;A
48910;C
12433;A
60952;A
82543;A
61366;A
84033;A
60914;A
84041;A
13653;A
47249;B
72490;A
28081;A
75386;A
1948; 
79869;A
61209;B
28822;A
75809;A
60890;A
4795;A
48365;A
30917;A
60912;A
84197;A
76821;A
60988;A
4804;A
53800;A
60646;A
78069;A
48518;C
60961;A
60887;A
4790;A
36624;A
10412;A
84172;A
12947;A
60949;A
84069;A
83762;C
77306;A
53633;A
10149;A
6481; 
50887;A
75235;A
4512;A
84045;A
84032;A
84199;A
61000;A
81049;A
57708;B
60821;A
30948;A
11810; 
59152;A
10163;A
62257;C
48816;A
79162;A
4808;A
84191;A
60983;A
57540;B
33241;A
3016;A
62202;A
59355;A
34756;A
10442;A
59495;A
61012;A
12432;A
84054;A
84036;A
50956;A
60900;A
60038;A
52785;A
72895;D
49385;A
60755;C
51169;A
18745; 
53632;A
40351;A
60894;A
38749;A
20437;A
8016;A
80829;A
48066;A
84178;A
57706;C
2980;A
11813; 
84765;A-1
11812; 
6924;A
74092;A
4735;A
84188;A
61322;A
83743;C
77571;A
82631;A
31814; 
60946;A
61324;A
43674;A
10432;A
60905;A
34222;A
28386;A
1692; 
60976;A
61632;A
41535;C
34315;A
9693;A
61674;C
53592;A
51155;A
61056;B
60861;A
45594;A
62197;A
15514;A
72275;B
23205;A
84205;A
61008;A
72501;A
4848; 
10397;A
83357;C
84207;A
6820;A
84055;A
80394;A
60971;A
60933;A
15645;A
74705;A
67405;B
15637;A
60977;A
76448; 
73369;A
8762;A
7234; 
10337;A
82855;C
84588;A
60897;A
60953;A
50617;A
2002;A
4817;A
56688;B
53526;A
15825;A
14939;A
7995;A
42136;A
61672;B
53553;A
60920;A
70002;C
37630;A
34749;A
60835;A
31823; 
10652;A
60991;A
8358;A
77130;A
39731;A
13593;B
84160;A
71294;C
57534;A
60831;A
56297;A
61534;A
84762;A
84070;A
21247;A
34368;B
81922;C
60868;A
74072;A
7233; 
71518;C
1240;A
18645; 
10437;A
31633;A
9042;A
84165;A
48933;B
10881;A
54446;A
46419;C
36287;A
18742; 
10296;A
84186;A
60871;A
44850;A
11025;A
60892;A
70740;A
36509;A
17584;A
47449;A
31193;A
44914;A
77937;A
56551;A
60947;A
4517;A
31817; 
53151;B
84063;A
47810;A
71126;A
69474;B
4810;A
60888;A
84043;A
8500;A
25932;A
58410;A
10358;A
60877;A
65284;A
60882;A
57710;A
13589;B
58068;A
36283;A
39635; 
77527;A
53539;A
2878;A
34755;A
38068;B
84030;A
9141;A
61553;A
39356;A
49921;A
60272;A
60883;A
19280;A
84049;A
84203;A
10063;A
73808;A
10517;B
84168;A
84072;A
60932;A
60839;A
60566;A
53421;A
53621;A
33262;A
61429;A
57928;B
53407;A
33412;A
52961;A
14597;A
8383;A
7173; 
21827;A
7971;A
58000;A
13582;A
60880;A
29844;A
79363; 
60967;A
71634;C
51901;C
80084;A
34754;A
18749; 
84044;A
60833;A
53420;A
84182;A
57318;B
83801;C
77761;A
74136;A
34435;A
71489;A
75080;A
16090;A
34390;A
16789; 
13065;A
6824;A
74772;A
51212;C
45970;B
8520;A
13249;D
61634;B
45173;A
8807; 
60981;A
8501;A
51322;B
8842; 
17834;A
10408;A
60830;A
53511;A
80523;A
31811; 
850; 
64244;C
60757;A
28974; 
47632;A
84064;A
84161;A
79865;A
43001;C
83333;A
70655;C
60960;A
53382;A
8840; 
2495;A
53431;A
9156;A
70312;C
56071;C
60842;A
51594;A
18299;A
54189;A
70212;A
60994;A
60303;A
60925;A
7275;A
78816;A
65819;C
81709;A
51094;B
48368;A
19795;A
74735;C
53113;A
60938;A
53576;A
8695;A
64661;A
54338;B
47448;B
79543;A
60958;A
22622; 
58472;A
33413;A
69835;C
60825;A
77880;A
57541;A
68987;C
83586;C
40440;A
60917;A
84028;A
60945;A
53349;A
60851;A
68001;C
84051;A
81630;C
31827;A
57661;A
6497; 
6482; 
45969;A
33563;A
8240;A
83773;C
38004;A
59817;A
46320;B
13561;A
54763;B
53096;A
56530;A
60848;A
11028;A
57504;B
32720;A
69651;C
23392;A
60820;B
74839;A
68662;A
53527;A
53400;A
37692;A
15629;A
53408;A
84204;A
84198;A
41951;A
9039;A
59675;B
45271;A
16002;A
53434;A
56748;B
76425;A
15877;A
2879;A
65328;A
55821;A
55334;A
30794;A
10411;A
60850;A
48558;A
39854;A
33321;A
11807; 
50403;A
84206;A
54319;A
60987;A
4515;A
56072;B
52066;B
60874;A
60843;A
44849;A
58551;B
54474;A
51893;A
51682;A
8574;A
4678;A
77497;A
53337;A
60852;A
53046;A
84027;A
59251;A
58454;A
56257;A
84166;A
60921;A
61224;A
60992;A
31916;A
77699; 
14596;A
9044;A
10436;A
83642;A
8844; 
53338;A
50953;D
60895;A
60862;A
53095;A
80043;C
9446;C
55650;A
45724;A
7150;B
60854;A
46126;A
4813;A
33318;A
53381;A
18344;A
50952;E
46093;A
63214;C
53399;A
8235;A
74795;A
56787;A
4802;A
29583;B
60857;A
60836;A
6922;A
8843; 
8635;A
73852;A
8839; 
34412;A
60963;A
60926;A
17717;A
60896;A
60859;A
57999;B
60866;A
53523;B
14494;A
61093;B
4511;A
84074;A
29413;A
60875;A
53350;A
37839;A
32133;A
84052;A
60935;A
60907;A
45206;A
32043;A
56531;B
5109;A
36779;A
10178;A
60477;A
8337;A
60870;A
58379;A
11809; 
11093; 
39738;A
51673;A
30893;A
29557;A
60982;A
53613;A
77629;A
60975;A
42170;A
37408;A
84031;A
45487;A
47248;A
58471;B
523;A
53671;A
71813;C
36285;A
51026;A
84167;A
62730;A
31015;A
74983; 
44702;A
49306;A
60818;C
61673;A
76732;A
55765;A
6745; 
53593;A
84195;A
4819;A
78587;A
61223;B
53510;A
60968;A
53614;B
60872;A
84025;A
60954;A
84071;A
31822; 
30361;C
60943;A
36288;A
38216;A
10293;A
60989;A
59823;A
84047;A
30440;A
55422;A
24057;A
82851;A
17278;A
84180;A
10013;A
53504;A
61483;A
61055;A
41297;B
10066;A
39572; 
83886;C
76513;A
82185;C
33310;A
13585;A
74728;A
28434;A
24000;A
59500;A
84170;A
33317;A
10065;A
76381;A
36076;B
23920;A
74927;A
48493;A
901; 
84196;A
9449;A
83385;C
60939;A
13729;A
53069;A
72886;A
60978;A
24845;A
32931;A
53017;A
64668;A
80436;A
57707;A
55118;A
45987;C
84066;A
84048;A
40963;A
30050;A
45041;A
60884;A
13558;A
4519;A
45989;A
4518;A
53018;A
38122;A
81973;A
79688;A
60966;A
47475;A
41303;A
60955;A
42714;C
53068;A
10438;A
22647; 
60999;A
84184;A
60986;A
60847;A
84164;A
82680;C
60819;D
50513;B
76337;A
16838;A
81577;A
74003;A
60908;A
52962;A
842;A
8661;A
15718;A
10424;A
58104;A
12589;A
53650;A
7232; 
60916;A
48908;B
10878;A
79212;A
80785;A
73119;B
61325;B
36772;A
76794;A
34752;A
4821;A
71478;A
51095;A
4792;A
34758;A
41216;A
30250; 
34214;B
75210;A
60853;A
35110;A
80172;A
60974;A
10404;A
75765;A
61005;A
36402;A
19759;A
40806;A
60901;A
53586;A
60826;A
60998;A
59064;A
62102;C
17107;A
61001;A
60876;A
53398;A
49342;C
49789;A
9300;A
8546;A
35185;A
23172;A
53369;A
18746; 
22715;A
60865;A
50102;A
4806;A
8956;A
31634;A
50101;B
49569;A
42751;C
56684;C
7619;A
26107;A
63373;C
61549;A
81446;A
15638;A
79238;A
57503;A
46201;A
45988;B
31974;A
6921;A
79821;A
53609;A
50511;C
19059; 
14850;A
61210;A
53112;A
8759;A
56039;A
11178;A
11027;A
70131;C
42939;A
73915;A
37156;A
51900;B
10421;A
71877;C
76029;A
8971;A
4793;A
60928;A
31821; 
1459;A
49344;A
60873;A
11808; 
7312;A
84764;A-1
52067;A
45217;A
8552;A
61684;B
60948;A
10292;A
51741;A
84171;A
60915;A
34358;B
25261;A
23741;A
4509;A
79237;C
78499;A
60829;A
10403;A
60911;A
13608;A
38069;A
84060;A
28901; 
10200;A
4507;A
54739;B
84035;A
52489;A
61009;A
68537;C
47149;A
61002;A
17672;B
10064;A
6434; 
74204;A
60863;A
52692;A
73150;A
42567;A
13394;A
60898;A
57008;A
57569;A
9391;A
7910;A
69671;C
22619; 
13564;A
60893;A
11805; 
60990;A
76293;A
54762;B
10443;A
60855;A
60879;A
40159;A
9882;A
53488;A
60964;A
60985;A
60922;A
52668;B
48250;A
34083;A
59822;A
76670;C
60910;A
23204;A
8255;A
53110;A
54740;C
79294;A
84061;A
22069;A
11030;A
78278;A
52957;A
24138;A
5964;A
60845;A
26061;A
29501;A
8841;A
78102;A
53522;A
72893;A
52742;A
25038;A
38123;B
14006;A
84058;A
60996;A
22434;A
61003;A
68113;C
61430;B
28599;A
22188;A
7409;A
60902;A
53045;A
53104;A
41539;C
60965;A
84042;A
50525;A
55764;B
41524;C
57505;C
18750; 
9303;A
33306;A
4799;A
53126;A
50712;A
53197;A
78201;A
65756;C
60849;A
78641;A
78720;A
14627;A
69748;C
67946;C
84192;A
55811;A
41107;A
31879;A
48162;A
59496;B
84040;A
30418;A
52693;B
6930; 
11804; 
2328;A
34750;A
36774;A
6825;A
2024;A
84039;A
84062;A
49723;D
11029;A
53108;B
78676;A
56707;A
59354;B
15634;A
81504;A
21212;A
60942;A
50512;A
66272;C
38346;B
39720;A
53540;A
48511;B
51902;A
10435;A
53332;A
21648;A
8010;A
66604;A
65835;C
60840;A
58673;A
53435;A
70319;C
51683;A
54912;A
45085;A
12315;A
79124;A
60940;A
50954;B
75852;C
73251;A
11413;A
53152;A
43718;A
9016;A
35204;A
17365;A
84185;A
29368;A
7531;A
10410;A
15643;A
20933; 
9172;A
60827;A
53052;C
10425;A
60889;A
48205;B
33320;A
74883;A
3009;A
73157; 
6436; 
60937;A
40670;A
4788;A
60927;A
10427;A
83495;C
61889;A
60909;A
59595;A
60956;A
48367;C
14598;A
11032;A
76776;A
52955;B
9302;A
60959;A
53610;A
36044;A
82191;A
58552;A
29770;A
31819; 
61633;A
53620;A
68673;A
14051;A
6917;A
83459;C
22585;A
67634;C
19842;A
78941;A
40119;A
50955;C
10297;A
3785;A
39735;A
3014;A
1237;A
60869;A
44229;A
13610;A
30575;A
46100;A
12858;A
24841;A
60941;A
60919;A
38226;A
