t_id_terreno;t_id_construccion;construccion_nocontenida_en_terreno;t_id_terreno_asociado_a_construccion;t_id_predio
1089865;260332;false;1089865;908232
1169058;242576;false;1169058;797699
1103862;240509;false;1103862;994155
1095322;237172;false;1095322;798799
1169213;253631;false;1169213;1060041
1097257;240395;false;1097257;973825
1170716;230935;false;1170716;684502
1084789;102315;false;1084789;768622
1178074;246718;false;1178074;817479
1094144;262095;false;1094144;666798
1169059;253251;false;1169059;1016983
1167798;256585;false;1167798;999285
1125457;241166;false;1125457;892469
1120470;238662;false;1120470;969843
1086469;199620;false;1086469;804814
1108964;259626;false;1108964;789679
1088050;251986;false;1088050;955288
1151400;227753;false;1151400;817662
1125477;224349;false;1125477;1010678
1103869;262006;false;1103869;957738
1074715;256853;false;1074715;978645
1122165;241487;false;1122165;1014533
1142431;236788;false;1142431;690443
1166364;243665;false;1166364;760843
1124271;244753;false;1124271;799959
1103429;261260;false;1103429;922234
1178755;258369;false;1178755;929763
1092135;237266;false;1092135;1056475
1143246;208181;false;1143246;953493
1129591;258680;false;1129591;1043936
1163800;235847;false;1163800;691822
1115213;271495;false;1115213;964769
1164975;262619;false;1164975;842932
1090578;141944;false;1090578;924149
1122824;242426;false;1122824;1053570
1075833;263294;false;1075833;761425
1087231;245455;false;1087231;1042418
1146481;265297;false;1146481;801119
1130005;253993;false;1130005;851910
1073697;108766;false;1073697;866795
1148774;257628;false;1148774;841494
1078314;246932;false;1078314;729545
1090953;222757;false;1090953;937865
1073759;222798;false;1073759;748485
1179014;263390;false;1179014;662855
1088860;242657;false;1088860;789340
1097392;240585;false;1097392;1048886
1179014;248416;false;1179014;662855
1144500;250685;false;1144500;780157
1139142;257777;false;1139142;902782
1097622;256968;false;1097622;993979
1115188;261976;false;1115188;939252
1122572;130146;false;1122572;675422
1136663;131280;false;1136663;957861
1076368;249044;false;1076368;796760
1084825;228070;false;1084825;1014996
1139300;258192;false;1139300;913639
1147746;245373;false;1147746;830170
1103883;210495;false;1103883;964740
1091865;226504;false;1091865;970268
1144110;132481;false;1144110;992367
1086786;239205;false;1086786;942643
1109648;209383;false;1109648;1039815
1156291;265324;false;1156291;1041225
1097386;251338;false;1097386;1019156
1080816;105658;false;1080816;3023385
1090235;250306;false;1090235;1044512
1151175;245808;false;1151175;789790
1144114;145981;false;1144114;3024603
1109608;255178;false;1109608;904786
1149763;208148;false;1149763;790282
1135261;106603;false;1135261;781160
1139584;266778;false;1139584;692118
1168673;241935;false;1168673;692746
1167427;234390;false;1167427;785994
1172041;242247;false;1172041;816078
1150970;265945;false;1150970;689479
1091844;242233;false;1091844;860904
1100234;255882;false;1100234;676570
1156321;254098;false;1156321;945989
1107773;257619;false;1107773;787592
1120999;118858;false;1120999;896319
1164587;92716;false;1164587;675302
1109645;228229;false;1109645;971990
1132063;241316;false;1132063;1031988
1122553;257858;false;1122553;961670
1164190;239921;false;1164190;900179
1118039;239958;false;1118039;789244
1139967;248774;false;1139967;1055123
1101439;257855;false;1101439;1011915
1099854;255400;false;1099854;731371
1125457;93267;false;1125457;892469
1158327;262630;false;1158327;789937
1102291;243528;false;1102291;985321
1106773;205408;false;1106773;1036674
1125478;226177;false;1125478;809283
1131676;240579;false;1131676;978278
1116802;243332;false;1116802;773194
1102787;260296;false;1102787;1023365
1087032;245205;false;1087032;924173
1076238;243303;false;1076238;932205
1087614;225944;false;1087614;746578
1074580;240761;false;1074580;770811
1173574;100618;false;1173574;1049488
1173233;163620;false;1173233;1043445
1146151;258703;false;1146151;943612
1178966;248193;false;1178966;856431
1160819;191462;false;1160819;761279
1157123;244602;false;1157123;1016810
1120870;255227;false;1120870;799297
1173564;265767;false;1173564;798212
1172051;233334;false;1172051;687919
1073237;259774;false;1073237;713832
1128283;261972;false;1128283;957847
1139162;241972;false;1139162;928289
1157496;150984;false;1157496;1048071
1168668;252647;false;1168668;817525
1118456;231108;false;1118456;693636
1137695;225652;false;1137695;795651
1161714;192654;false;1161714;1046396
1172216;253143;false;1172216;961688
1164999;262678;false;1164999;863045
1168813;247769;false;1168813;1040800
1118879;229718;false;1118879;782340
1140550;208987;false;1140550;1050272
1140854;191059;false;1140854;673739
1101864;258640;false;1101864;958440
1139555;233417;false;1139555;1053263
1161255;245954;false;1161255;785792
1163359;259963;false;1163359;798479
1162541;258589;false;1162541;1048742
1100055;118960;false;1100055;1034689
1082584;103678;false;1082584;931016
1153845;155009;false;1153845;803126
1177294;178019;false;1177294;1053305
1172901;238291;false;1172901;824175
1089284;228663;false;1089284;746913
1089292;228685;false;1089292;664544
1165358;247360;false;1165358;974494
1160163;244368;false;1160163;1017140
1147066;109219;false;1147066;818442
1166596;265546;false;1166596;672158
1108799;248744;false;1108799;1020675
1081683;241579;false;1081683;666607
1120332;254454;false;1120332;691620
1130598;238933;false;1130598;1040294
1177137;261186;false;1177137;727950
1075005;252023;false;1075005;760763
1073729;132421;false;1073729;866245
1150685;177649;false;1150685;661424
1178945;258532;false;1178945;809589
1080260;169620;false;1080260;759875
1157156;260774;false;1157156;661865
1087624;232844;false;1087624;667740
1087599;147025;false;1087599;678343
1115581;253411;false;1115581;967080
1080370;192042;false;1080370;973955
1158753;247349;false;1158753;791602
1164349;250984;false;1164349;958022
1135157;262416;false;1135157;1027658
