t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
799609;470010002000000050801800000287;Condominio.Unidad_Predial;Recreacional;
837708;470010106000009170001000000000;NPH;Recreacional;
795769;470010004000000020801800000361;Condominio.Unidad_Predial;Recreacional;
762832;470010106000005900001000000000;NPH;Recreacional;
667794;470010002000000050801800000325;Condominio.Unidad_Predial;Recreacional;
865441;470010101000000450021000000000;NPH;Recreacional;
1024175;470010107000001320014000000000;NPH;Recreacional;
1055352;470010002000000050801800000235;Condominio.Unidad_Predial;Recreacional;
731819;470010003000000030119500000054;Parque_Cementerio.Unidad_Predial;Recreacional;
995546;470010001000000020803800001676;Condominio.Unidad_Predial;Recreacional;
1008494;470010001000000020803800001680;Condominio.Unidad_Predial;Recreacional;
815232;470010008000000010186000000000;NPH;Recreacional;
713750;470010102000004170001000000000;NPH;Recreacional;
817931;470010107000001370088000000000;NPH;Recreacional;
795300;470010004000000020801800000276;Condominio.Unidad_Predial;Recreacional;
798714;470010001000000020803800001687;Condominio.Unidad_Predial;Recreacional;
1044963;470010002000000050801800000185;Condominio.Unidad_Predial;Recreacional;
1057323;470010001000000020803800001673;Condominio.Unidad_Predial;Recreacional;
795021;470010002000000050801800000202;Condominio.Unidad_Predial;Recreacional;
958597;470010102000004490001000000000;NPH;Recreacional;
706827;470010106000007570013000000000;NPH;Recreacional;
819795;470010102000004150001000000000;NPH;Recreacional;
799080;470010002000000050801800000169;Condominio.Unidad_Predial;Recreacional;
958150;470010107000001320024000000000;NPH;Recreacional;
676686;470010102000003210001000000000;NPH;Recreacional;
1061942;470010004000000020801800000306;Condominio.Unidad_Predial;Recreacional;
765245;470010003000000013800000000000;NPH;Recreacional;
868476;470010106000006540010000000000;NPH;Recreacional;
960356;470010001000000021375000000000;NPH;Recreacional;
888680;470010110000000170801800000028;Condominio.Unidad_Predial;Recreacional;
839494;470010106000011840001000000000;NPH;Recreacional;
933032;470010001000000020803800001664;Condominio.Unidad_Predial;Recreacional;
978276;470010002000000050801800000119;Condominio.Unidad_Predial;Recreacional;
794969;470010002000000050801800000110;Condominio.Unidad_Predial;Recreacional;
1022869;470010004000000020801800000368;Condominio.Unidad_Predial;Recreacional;
795129;470010002000000050802800000376;Condominio.Unidad_Predial;Recreacional;
