t_id_predio;numero_predial;vigencia_actualizacion_catastral
1053130;470010104000000610903901070145;2023-01-04
826715;470010110000000380903900001156;2023-02-02
848270;470010002000000076901903070388;2023-01-21
3024864;470010104000000020902901020089;2023-01-04
972629;470010107000000280906901040654;2023-01-04
988783;470010110000000620903901990514;2023-02-02
1070154;470010002000000076901906010535;2023-01-21
954296;470010107000000100901901020013;2023-01-04
759337;470010107000000290001000000000;2023-01-04
1041497;470010002000000070903923030451;2023-01-23
987281;470010110000000190906900000357;2023-02-02
659906;470010104000000910903901140182;2018-01-23
962474;470010110000000010005000000000;2023-02-02
693972;470010108000000060902901170074;2022-11-28
785289;470010107000000680007200000003;2023-01-04
683418;470010002000000070905921010403;2023-01-21
747043;470010110000000380901902020321;2023-02-02
676093;470010104000000020901901010048;2023-01-04
972819;470010107000000300902901010078;2023-01-04
1034626;470010108000000010901903060916;2023-01-04
866925;470010104000000310901901010048;2023-01-04
948481;470010107000000200901901020007;2023-01-04
1041321;470010108000000150901901010023;2023-01-04
965648;470010107000000460903901140368;2023-01-04
993129;470010107000000320904901020169;2023-01-04
965527;470010104000000290901901020237;2023-01-04
969251;470010104000000010901901080147;2023-01-04
1032680;470010002000000040901901010159;2023-01-21
940163;470010107000000300901900000000;2023-01-04
1046166;470010110000000730901901140241;2023-02-02
3017484;470010104000000610903901010134;2023-01-04
750313;470010106000010270001000000000;2022-07-20
3018360;470010110000000380904901060156;2023-02-02
1028768;470010108000000010901903010726;2023-01-04
676101;470010104000000020903901010278;2023-01-04
1048708;470010106000000560901903050161;2023-01-21
3009579;470010107000000410901901010018;2023-01-04
697327;470010107000000740901901020110;2023-01-04
977552;470010107000000630904901170430;2023-01-04
955709;470010107000000280902901040038;2023-01-04
3023349;470010107000000500902901080088;2023-01-04
1028657;470010108000000010901903010733;2023-01-04
661621;470010104000000300904901020113;2023-01-04
984677;470010110000000610902900000126;2023-02-02
3011082;470010110000000380901902023333;2023-02-02
3022185;470010110000000620902901990189;2023-02-02
721818;470010110000000320005901040432;2024-05-15
3024552;470010107000000400902901030028;2023-01-04
662771;470010110000002200005200000003;2023-02-02
1066138;470010110000000100901901000185;2023-02-02
1007823;470010107000000080909901020371;2023-01-04
813758;470010110000000910901901090114;2023-02-02
671612;470010106000009290006000000000;2023-01-16
1016097;470010107000000570903901010126;2023-01-04
3024828;470010110000000400904902081116;2023-02-02
3019257;470010107000000400902901050042;2023-01-04
967455;470010107000000230085000000000;2023-01-04
791520;470010110000000130009000000000;2023-02-02
990391;470010110000000400903901000146;2023-02-02
808145;470010002000000040901901010139;2023-01-21
695514;470010104000000540901901010157;2023-01-04
958780;470010107000000410032000000000;2023-01-04
1010266;470010110000000530902901010117;2023-02-02
951252;470010108000000010901901160585;2023-01-04
956304;470010110000000300004500000006;2023-02-02
1037311;470010110000000530903901000377;2023-02-02
719538;470010104000000300904901141401;2023-01-04
1017760;470010108000000010901904041816;2023-01-04
750547;470010110000000570903901050248;2023-02-02
818978;470010110000000830901902030313;2023-02-02
790608;470010107000000430004000000000;2023-01-04
981815;470010110000000640903902030504;2023-02-02
668391;470010107000001570801800000050;2023-01-04
671896;470010110000000640903900000305;2023-02-02
1052693;470010110000000640903903040564;2023-02-02
693163;470010110000000190906900000356;2023-02-02
1020365;470010002000000070905921030412;2023-01-21
922100;470010107000001170901900000000;2023-01-04
691810;470010107000001300055000000000;2023-01-04
3009408;470010110000000380903901090675;2023-02-02
731423;470010108000000010901904041772;2023-01-04
965767;470010104000000280902901150193;2023-01-04
1033936;470010108000000180902901010181;2023-01-04
1064790;470010108000000010901904031501;2023-01-04
1067103;470010110000000530902901010123;2023-02-02
796787;470010107000000180902900000000;2023-01-04
957641;470010104000000280902902020119;2023-01-04
659771;470010107000000090901901020022;2023-01-04
940432;470010104000000610901901070046;2023-01-04
1066290;470010110000001580001000000000;2023-02-02
1024142;470010002000000070905921020408;2023-01-21
1048892;470010110000001290006000000000;2023-02-02
662665;470010107000000920008000000000;2023-01-04
675329;470010108000000180901900000000;2023-01-04
890760;470010107000000280906901010603;2023-01-04
695896;470010107000000690904901010101;2023-01-04
1064208;470010107000000140011000000000;2023-01-04
991063;470010110000000190901900010054;2023-02-02
1041653;470010107000000080912901020550;2023-01-04
1012133;470010107000000690907901120459;2023-01-04
989289;470010107000000630901901000031;2023-01-04
976900;470010107000000630904901000001;2023-01-04
3010365;470010107000000490905901050305;2023-01-04
972897;470010107000000260901901050021;2023-01-04
773305;470010108000000010901904021619;2023-01-04
1053000;470010110000000380901902050530;2023-02-02
1012124;470010110000000640905901041032;2023-02-02
675839;470010110000000680902901030038;2023-02-02
823835;470010110000000910901901030019;2023-02-02
1064653;470010110000000530902901010116;2023-02-02
941802;470010110000001310019000000000;2023-02-02
1010036;470010110000000530902901010109;2023-02-02
658576;470010107000000630902901020098;2023-01-04
750983;470010110000000620901901010056;2023-02-02
3023577;470010104000000290901901020033;2023-01-04
964447;470010107000000120902902000190;2023-01-04
957594;470010108000000190901901030030;2023-01-04
667222;470010107000000170901901050078;2023-01-04
671984;470010110000000700902901100058;2023-02-02
3018324;470010107000000490905902000603;2023-01-04
680870;470010110000000400903901060473;2023-02-02
969946;470010110000000910901901130158;2023-02-02
1056388;470010104000000800024000000000;2023-01-04
3007944;470010107000000490904901010187;2023-01-04
957925;470010110000000510002000000000;2023-02-02
982602;470010108000000060901901080037;2023-01-04
989560;470010110000000380901901010225;2023-02-02
715052;470010104000000750901901010031;2023-01-04
953900;470010107000000570903901010076;2023-01-04
803685;470010107000000270905901010231;2023-01-04
662790;470010110000000460801800000105;2023-02-02
3023556;470010110000000700902901040024;2023-02-02
1042687;470010110000000680901900000000;2023-02-02
3016041;470010107000000490904901190284;2023-01-04
785442;470010107000000590020000000000;2023-01-04
751013;470010800000001040001000000000;2022-07-20
758440;470010110000000640902928010231;2023-02-02
1000306;470010110000000610901901050019;2023-02-02
663001;470010107000000370901901010002;2023-01-04
1049115;470010108000000010901904111161;2023-01-04
1025083;470010107000000080901901020007;2023-01-04
663003;470010107000000550901901020028;2023-01-04
3013572;470010002000000076901902060318;2023-01-21
1029799;470010104000000740901901030047;2023-01-04
926313;470010108000000010901903010684;2023-01-04
1057104;470010107000000740901901020093;2023-01-04
895358;470010108000000180903901130305;2023-01-04
1056397;470010110000000620901901090130;2023-02-02
948225;470010107000000280906901010594;2023-01-04
1060717;470010107000000630904901020332;2023-01-04
1037827;470010107000000320903901030142;2023-01-04
977965;470010110000000480904901020078;2023-02-02
3020238;470010107000000280904902110215;2023-01-04
992247;470010110000000570902900000149;2023-02-02
681663;470010110000000620902901990195;2023-02-02
1046357;470010110000000690901901050014;2023-02-02
663203;470010110000000190901900010050;2023-02-02
1049335;470010107000000460903901010264;2023-01-04
667733;470010110000000030901900000038;2023-02-04
725711;470010110000000320005901010116;2024-05-15
1029755;470010107000000600902901130147;2023-01-04
1035053;470010110000000570902900000150;2023-02-02
3012774;470010110000000620902901990238;2023-02-02
803951;470010110000000530902901040214;2023-02-02
802197;470010110000001690018000000000;2023-02-02
758669;470010110000000830901901181802;2023-02-02
760458;470010108000000010901903130999;2023-01-04
1060177;470010107000000440801800000026;2023-01-04
1049059;470010110000000640903902090529;2023-02-02
3020973;470010110000000380906901011519;2023-02-02
722056;470010002000000070903913050258;2023-01-23
826805;470010110000000400801800000521;2023-02-02
1028872;470010002000000070902903030050;2022-12-20
964645;470010110000000730901901110182;2023-02-02
1042924;470010107000000100903901030111;2023-01-04
947532;470010002000000070905927050538;2023-01-21
926475;470010110000000380903900001320;2023-02-02
1033427;470010110000000630901901050248;2023-02-02
957584;470010110000001180008000000000;2023-02-02
683202;470010107000000370901901110036;2023-01-04
1029862;470010108000000010901903020787;2023-01-04
967237;470010107000000310905901020131;2023-01-04
944491;470010107000000130907901040212;2023-01-04
3022623;470010107000000690906901010211;2023-01-04
971722;470010108000000010901902030161;2023-01-04
986685;470010110000000380903901060640;2023-02-02
726447;470010110000000610902900000078;2023-02-02
1033795;470010107000000100908901040175;2023-01-04
718329;470010110000000190907904040274;2023-02-02
3010185;470010108000000020902901010105;2023-01-04
1053226;470010110000000480904901990249;2023-02-02
758766;470010110000000830901902030311;2023-02-02
746709;470010110000000250160000000000;2023-02-02
3009999;470010110000000620901901050095;2023-02-02
804720;470010108000000010901904101133;2023-01-04
989103;470010107000001210904901040116;2023-01-04
693934;470010002000000076901907050617;2023-01-21
1012255;470010107000000490904901010186;2023-01-04
1048904;470010110000000250159000000000;2023-02-02
3017316;470010104000000140903901040020;2023-01-04
3017595;470010107000000120902901000056;2023-01-04
986376;470010110000000380903901001394;2023-02-02
3014859;470010110000000380903901051068;2023-02-02
675740;470010110000000640905901020960;2023-02-02
979261;470010108000000010901902040308;2023-01-04
3017493;470010002000000076901908020199;2023-01-21
664155;470010104000000050055000000000;2023-01-04
3008334;470010107000000280905901120540;2023-01-04
980753;470010110000000870902901010166;2023-02-02
918112;470010107000000080913901030243;2023-01-04
3009126;470010107000000020901901030180;2023-01-04
1041068;470010104000000650901901040460;2023-01-04
749716;470010002000000049223000000000;2022-07-20
1033625;470010107000000570903901010059;2023-01-04
3024123;470010107000000490905902000619;2023-01-04
3016905;470010107000000090906901010163;2023-01-04
968665;470010104000000600009000000000;2023-01-04
3023391;470010110000000400904901100998;2023-02-02
965993;470010002000000040901901010148;2023-01-21
1049079;470010110000000640905901031021;2023-02-02
1049604;470010108000000160903901140215;2023-01-04
975873;470010110000000710901901040165;2023-02-02
987284;470010110000000640905901101096;2023-02-02
3011844;470010104000000620901901010064;2023-01-04
1046417;470010107000000600801800000021;2023-01-04
721782;470010002000000070903905020085;2023-01-23
3010671;470010107000000490905901000524;2023-01-04
692685;470010110000000030901900000098;2023-02-04
1004357;470010107000000740901901020111;2023-01-04
1041865;470010110000000640903903080583;2023-02-02
675761;470010110000000640905901051042;2023-02-02
710189;470010002000000076901903080397;2023-01-21
1038303;470010107000000280906901010597;2023-01-04
1033201;470010110000000400904901030887;2023-02-02
1029499;470010110000001750011000000000;2023-02-02
979156;470010110000000380901902010055;2023-02-02
797307;470010108000000010901904021640;2023-01-04
958700;470010108000000010901902030185;2023-01-04
695233;470010110000000530901901020014;2023-02-02
955793;470010110000000400904901060967;2023-02-02
1024791;470010107000000180901901020005;2023-01-04
1060656;470010107000000630903901010209;2023-01-04
992287;470010110000000630901901020180;2023-02-02
760620;470010110000001550017000000000;2023-02-02
722209;470010108000000060902902120128;2022-11-28
667667;470010110000002280007000000000;2023-02-02
991309;470010110000000380903900001311;2023-02-02
806103;470010104000000620903901050042;2023-01-04
1042074;470010110000000640905901010794;2023-02-02
824414;470010107000000180901901090032;2023-01-04
661383;470010002000000076901902040297;2023-01-21
1012290;470010108000000180903901100279;2023-01-04
964611;470010107000000410904901010096;2023-01-04
1017132;470010107000000400901901050023;2023-01-04
764469;470010107000001480013500000001;2023-01-04
3019944;470010104000000020902901050163;2023-01-04
729101;470010110000001680009000000000;2023-02-02
3023142;470010110000000400904901161057;2023-02-02
3013059;470010110000000490901900000040;2023-02-02
791305;470010108000000060902901080022;2023-01-04
754313;470010110000000640905901051050;2023-02-02
1056207;470010002000000070905920050397;2023-01-21
956793;470010110000001420007000000000;2023-02-02
662572;470010107000000420801800000008;2023-01-04
985924;470010110000000870902901000107;2023-02-02
1034492;470010110000000530902901020091;2023-02-02
1033452;470010110000000380907901041595;2023-02-02
959201;470010107000000060905901000020;2023-01-04
917243;470010110000000380901901010210;2023-02-02
973372;470010104000000630007000000000;2023-01-04
661997;470010110000000640905901131136;2023-02-02
718925;470010110000000190908904030260;2023-02-02
944555;470010104000000540901901010016;2023-01-04
3019881;470010107000000280904901160371;2023-01-04
3024630;470010110000000400904901000708;2023-02-02
693905;470010110000000630901901130345;2023-02-02
666276;470010107000001480013000000000;2023-01-04
746915;470010110000000380901902010256;2023-02-02
1037694;470010110000000570901901020029;2023-02-02
940302;470010104000000280902902110224;2023-01-04
751755;470010110000000630901901020171;2023-02-02
657998;470010002000000070903921040415;2023-01-23
3025101;470010110000000620902901010268;2023-02-02
975197;470010110000000570902900000220;2023-02-02
1018128;470010110000000520801800000011;2023-02-02
954932;470010108000000180901901120059;2023-01-04
982596;470010110000000380904901000010;2023-02-02
3014061;470010110000000400904901020755;2023-02-02
867965;470010104000000620903901150060;2023-01-04
1040765;470010002000000070905924030469;2023-01-21
1067098;470010110000000620903901990599;2023-02-02
756077;470010110000000730901901050074;2023-02-02
3025125;470010104000000290901901140189;2023-01-04
1042536;470010110000000680903900000025;2023-02-02
991693;470010110000002430901901020060;2023-01-04
3011115;470010110000000630901901060256;2023-02-02
1037096;470010110000002530901901080071;2023-02-02
722963;470010002000000070456000000000;2022-07-20
988604;470010108000000020902901110044;2023-01-04
930945;470010107000000490902901100024;2023-01-04
3024555;470010107000000430901901080059;2023-01-04
985446;470010110000000870901900000023;2023-02-02
968718;470010106000000560901904040217;2023-01-21
984238;470010108000000020902901020121;2023-01-04
791266;470010104000000330903901020002;2023-01-04
1042335;470010108000000010901903030853;2023-01-04
662106;470010107000000080910901090435;2023-01-04
3011253;470010104000000280901901030024;2023-01-04
997557;470010108000000060901901070034;2023-01-04
680867;470010110000000730901901080127;2023-02-02
1000223;470010104000000680015000000000;2023-01-04
3023985;470010107000000080904901010086;2023-01-04
964603;470010107000000030004000000000;2023-01-04
694598;470010108000000010901903010629;2023-01-04
1004190;470010108000000160903901170224;2023-01-04
3014001;470010107000000690907901040410;2023-01-04
932044;470010107000000490905901000648;2023-01-04
693988;470010108000000060902902060084;2022-11-28
945652;470010107000000450901901040030;2023-01-04
968599;470010107000000460903901140224;2023-01-04
1017211;470010110000000670903901050058;2023-02-02
1012253;470010107000000560901901010035;2023-01-04
1053522;470010104000000300903901090134;2023-01-04
3016890;470010104000000650901901020443;2023-01-04
820812;470010110000000190901900010228;2023-02-02
3007164;470010104000000320903901000106;2023-01-04
826880;470010110000000080007000000000;2023-02-09
1066632;470010107000000570903901060164;2023-01-04
1049170;470010110000000380907901061614;2023-02-02
1060628;470010107000000300905901090907;2023-01-04
671820;470010110000000400903901010340;2023-02-02
1004493;470010108000000180903901170352;2023-01-04
868448;470010104000000730901901140060;2023-01-04
1041941;470010108000000010901904151219;2023-01-04
987527;470010110000000400903901010349;2023-02-02
666363;470010110000000480904901040125;2023-02-02
925874;470010110000001470002000000000;2023-02-02
693887;470010107000000560902900000000;2023-01-04
689384;470010110000000690901901070026;2023-02-02
997945;470010108000000190901901010012;2023-01-04
757298;470010110000000800901901020151;2023-02-02
947924;470010104000000020903901010213;2023-01-04
982068;470010110000000480904901100176;2023-02-02
958158;470010107000000680009000000000;2023-01-04
953144;470010110000000190901902010148;2023-02-02
727013;470010002000000076901906070581;2023-01-21
826836;470010110000001830001000000000;2023-02-02
969022;470010106000000560901904020203;2023-01-21
3014109;470010107000000080905901130230;2023-01-04
3010692;470010107000000570903901010088;2023-01-04
1000878;470010110000000620903901990601;2023-02-02
972388;470010107000000180902901030057;2023-01-04
972091;470010107000000080911900000486;2023-01-04
991987;470010107000000630901901000040;2023-01-04
3016074;470010002000000076901901030231;2023-01-21
1015629;470010107000000150901901020040;2023-01-04
982229;470010110000000250003500000019;2023-02-02
1053302;470010107000001540801800000017;2023-01-04
987866;470010110000000640903904011206;2023-02-02
3018423;470010110000000400901900010047;2023-02-02
990033;470010110000000640903904011176;2023-02-02
1017776;470010107000000080911900000491;2023-01-04
983458;470010108000000010901901040369;2023-01-04
3020403;470010107000000090903901010080;2023-01-04
933437;470010110000000640903900010397;2023-02-02
937778;470010110000000910901901050056;2023-02-02
931920;470010110000001170006000000000;2023-02-02
980658;470010107000000630901901000023;2023-01-04
792582;470010110000000400904901030915;2023-02-02
824412;470010107000000180901901100036;2023-01-04
1034838;470010104000000610903901010108;2023-01-04
1000198;470010108000000010901903010721;2023-01-04
975911;470010107000000460901901010021;2023-01-04
3014826;470010110000000710901901020114;2023-02-02
658625;470010107000000210901901040095;2023-01-04
3013965;470010107000000440801800000004;2023-01-04
1037057;470010108000000110901901010030;2023-01-04
