t_id_predio;numero_predial;condicion_predio;destinacion_economica
841705;470010106000001530020000000000;NPH;Agricola
992188;470010110000000400901900010044;PH.Unidad_Predial;Forestal
981653;470010110000000480904901990250;PH.Unidad_Predial;Forestal
3020562;470010104000000560901901020046;PH.Unidad_Predial;Forestal
3015429;470010107000000240901901010019;PH.Unidad_Predial;Forestal
1038422;470010108000000010901903020790;PH.Unidad_Predial;Forestal
979657;470010110000000640903902020500;PH.Unidad_Predial;Forestal
785810;470010109000004340001000000000;NPH;Forestal
807974;470010104000000020903901010222;PH.Unidad_Predial;Agropecuario
721003;470010103000001130021500000001;Parque_Cementerio.Unidad_Predial;Forestal
975684;470010112000000610003500000001;Parque_Cementerio.Unidad_Predial;Forestal
3023928;470010107000000630903901080142;PH.Unidad_Predial;Forestal
972673;470010107000000090039000000000;NPH;Agropecuario
3021834;470010107000000630903901010187;PH.Unidad_Predial;Forestal
985829;470010110000000400903901060480;PH.Unidad_Predial;Forestal
991699;470010110000000350901911020005;PH.Unidad_Predial;Forestal
1000347;470010110000000640903900010746;PH.Unidad_Predial;Forestal
974933;470010107000000180902901020054;PH.Unidad_Predial;Forestal
3011769;470010108000000010901901050419;PH.Unidad_Predial;Forestal
798779;470010115000006730005000000000;NPH;Forestal
3020580;470010107000000020901901020101;PH.Unidad_Predial;Forestal
892944;470010107000000090905901110141;PH.Unidad_Predial;Forestal
980514;470010112000000300014000000000;NPH;Forestal
784849;470010106000005530017000000000;NPH;Forestal
800741;470010106000010120021000000000;NPH;Forestal
1057056;470010107000000190905901010164;PH.Unidad_Predial;Forestal
718319;470010110000001160008500000001;Informal;Forestal
981818;470010110000000380903901100681;PH.Unidad_Predial;Forestal
791098;470010102000003190801800000027;Condominio.Unidad_Predial;Forestal
979153;470010110000000570902900000169;PH.Unidad_Predial;Forestal
1012589;470010106000008220011000000000;NPH;Forestal
972124;470010107000000090902901010075;PH.Unidad_Predial;Forestal
1002794;470010103000007680002000000000;NPH;Forestal
785630;470010112000000330001000000000;NPH;Forestal
3023658;470010108000000190901901010013;PH.Unidad_Predial;Forestal
899427;470010101000001060901900000000;NPH;Acuicola
3021018;470010107000000690907901070424;PH.Unidad_Predial;Forestal
3017895;470010107000000570903901080181;PH.Unidad_Predial;Forestal
1042140;470010108000000180901901110052;PH.Unidad_Predial;Forestal
1024314;470010108000000010901903010642;PH.Unidad_Predial;Forestal
972236;470010107000000190905901060221;PH.Unidad_Predial;Forestal
788630;470010115000004960009000000000;NPH;Forestal
985971;470010108000000160903901100198;PH.Unidad_Predial;Forestal
3022404;470010108000000180903901110289;PH.Unidad_Predial;Forestal
791693;470010103000000820020000000000;NPH;Forestal
1042442;470010104000000290901901010205;PH.Unidad_Predial;Agropecuario
889312;470010103000004620007500000063;Parque_Cementerio.Unidad_Predial;Forestal
974851;470010107000000460902901050079;PH.Unidad_Predial;Forestal
3014718;470010107000000630904901010299;PH.Unidad_Predial;Forestal
1000464;470010108000000010901902110522;PH.Unidad_Predial;Forestal
1020965;470010104000000320903901010135;PH.Unidad_Predial;Agropecuario
1017889;470010107000000080910901120441;PH.Unidad_Predial;Forestal
798304;470010115000001820013000000000;NPH;Forestal
3021393;470010110000000380906901021532;PH.Unidad_Predial;Forestal
788345;470010106000011550006000000000;NPH;Forestal
3013722;470010104000000320903901110066;PH.Unidad_Predial;Forestal
1033730;470010110000000380902900000554;PH.Unidad_Predial;Forestal
980010;470010110000001720002500000001;Informal;Forestal
1008386;470010107000000310905901080157;PH.Unidad_Predial;Forestal
800749;470010103000004620012500000062;Parque_Cementerio.Unidad_Predial;Forestal
3023997;470010107000000490905902000475;PH.Unidad_Predial;Forestal
3007497;470010110000000380901901010185;PH.Unidad_Predial;Forestal
979750;470010110000000640906900001179;PH.Unidad_Predial;Forestal
759230;470010104000001640033500000001;Informal;Forestal
975599;470010108000000010901901020114;PH.Unidad_Predial;Forestal
968362;470010104000000320903901010119;PH.Unidad_Predial;Forestal
985496;470010110000000380903901001027;PH.Unidad_Predial;Forestal
1063399;470010109000002580801800000374;Condominio.Unidad_Predial;Forestal
3012675;470010107000000130907901030210;PH.Unidad_Predial;Forestal
1049317;470010104000000610903901010112;PH.Unidad_Predial;Forestal
978709;470010107000000530903901090094;PH.Unidad_Predial;Forestal
3016779;470010107000000120903901010369;PH.Unidad_Predial;Forestal
3017160;470010107000000120902901000125;PH.Unidad_Predial;Forestal
3021036;470010110000000620902901010284;PH.Unidad_Predial;Forestal
764219;470010105000002670001500000001;Parque_Cementerio.Unidad_Predial;Forestal
3023472;470010110000000700902901060034;PH.Unidad_Predial;Forestal
977389;470010110000000570902900000192;PH.Unidad_Predial;Forestal
1012438;470010107000000080905901100223;PH.Unidad_Predial;Forestal
899425;470010101000001230901900000000;NPH;Acuicola
800703;470010103000000820011000000000;NPH;Forestal
1053083;470010108000000060902901130053;PH.Unidad_Predial;Forestal
3007218;470010104000000300903901030091;PH.Unidad_Predial;Agropecuario
799533;470010106000007070801800000010;Condominio.Unidad_Predial;Forestal
941711;470010104000000540901901010063;PH.Unidad_Predial;Agropecuario
841680;470010107000001410056500000032;Parque_Cementerio.Unidad_Predial;Forestal
839779;470010106000000900027500000029;Parque_Cementerio.Unidad_Predial;Forestal
944465;470010107000000150904901140242;PH.Unidad_Predial;Forestal
803351;470010106000006950043000000000;NPH;Forestal
981485;470010105000002070801800000025;Condominio.Unidad_Predial;Forestal
989454;470010110000000620901901030078;PH.Unidad_Predial;Forestal
786076;470010109000002580801800000280;Condominio.Unidad_Predial;Forestal
3009306;470010110000000640905901020989;PH.Unidad_Predial;Forestal
770189;470010111000000250006000000000;NPH;Forestal
665053;470010106000000310134500000001;Parque_Cementerio.Unidad_Predial;Forestal
950594;470010110000000640905901020985;PH.Unidad_Predial;Forestal
1004099;470010110000000400901901070028;PH.Unidad_Predial;Forestal
798819;470010106000007460053000000000;NPH;Forestal
1000313;470010107000000300902901010077;PH.Unidad_Predial;Forestal
870313;470010900000002030005500000001;Parque_Cementerio.Unidad_Predial;Forestal
686308;470010109000003600901900000076;PH.Unidad_Predial;Agropecuario
957651;470010108000000160902901010145;PH.Unidad_Predial;Forestal
3008892;470010107000000480901901010034;PH.Unidad_Predial;Forestal
1038371;470010107000000630903901070134;PH.Unidad_Predial;Forestal
1034985;470010107000000630904901010305;PH.Unidad_Predial;Forestal
1060802;470010110000000400904901030944;PH.Unidad_Predial;Forestal
974915;470010107000000070904901030151;PH.Unidad_Predial;Forestal
940375;470010107000000130907901050218;PH.Unidad_Predial;Forestal
1053056;470010104000000140903901030019;PH.Unidad_Predial;Forestal
970670;470010107000000430902901010087;PH.Unidad_Predial;Forestal
3013080;470010104000000290901901070134;PH.Unidad_Predial;Agropecuario
974480;470010106000000560901903030146;PH.Unidad_Predial;Forestal
871460;470010111000003680001500000001;Parque_Cementerio.Unidad_Predial;Forestal
988748;470010110000000630901901170336;PH.Unidad_Predial;Forestal
864068;470010110000000630901901020198;PH.Unidad_Predial;Forestal
1064326;470010110000000190901900010003;PH.Unidad_Predial;Forestal
3020244;470010104000000020902901020086;PH.Unidad_Predial;Forestal
944804;470010104000000020009000000000;NPH;Agropecuario
811463;470010103000003630001500000002;Parque_Cementerio.Unidad_Predial;Forestal
1046542;470010110000000630901901090281;PH.Unidad_Predial;Forestal
762599;470010103000000850012500000001;Parque_Cementerio.Unidad_Predial;Forestal
835999;470010103000011090012500000001;Parque_Cementerio.Unidad_Predial;Forestal
841239;470010106000011670010500000001;Parque_Cementerio.Unidad_Predial;Forestal
966305;470010107000000150904901010248;PH.Unidad_Predial;Forestal
968275;470010104000000010901901010049;PH.Unidad_Predial;Agropecuario
770966;470010106000009040093500000001;Parque_Cementerio.Unidad_Predial;Forestal
968098;470010104000000640901901031013;PH.Unidad_Predial;Forestal
992703;470010115000006650901900000406;PH.Unidad_Predial;Forestal
3023070;470010110000000400904901121014;PH.Unidad_Predial;Forestal
1060411;470010110000000400904901030880;PH.Unidad_Predial;Forestal
772707;470010114000000720029500000001;Parque_Cementerio.Unidad_Predial;Forestal
3012966;470010107000000190905901110250;PH.Unidad_Predial;Forestal
973568;470010107000000150903901030139;PH.Unidad_Predial;Forestal
797200;470010105000002070801800000042;Condominio.Unidad_Predial;Forestal
3008442;470010107000000120902902020236;PH.Unidad_Predial;Forestal
748289;470010113000000020066000000000;NPH;Forestal
3018150;470010110000000380903901000718;PH.Unidad_Predial;Forestal
981711;470010110000000710901901010099;PH.Unidad_Predial;Forestal
939970;470010106000007090801800000001;Condominio.Unidad_Predial;Forestal
964931;470010101000001280903900000137;PH.Unidad_Predial;Agropecuario
662407;470010109000002430012000000000;NPH;Forestal
754617;470010103000004620007500000084;Parque_Cementerio.Unidad_Predial;Forestal
694649;470010104000000910903901000216;PH.Unidad_Predial;Forestal
3012384;470010110000000190905901000498;PH.Unidad_Predial;Agropecuario
3007821;470010108000000010901901040397;PH.Unidad_Predial;Forestal
1012575;470010107000000450904901010057;PH.Unidad_Predial;Forestal
769812;470010111000002430001500000004;Parque_Cementerio.Unidad_Predial;Forestal
1027785;470010106000010440003000000000;NPH;Forestal
3019920;470010107000000490905901000445;PH.Unidad_Predial;Forestal
3011415;470010107000000150903901020131;PH.Unidad_Predial;Forestal
3012030;470010107000000210901901010001;PH.Unidad_Predial;Agropecuario
3013377;470010107000000370901901010049;PH.Unidad_Predial;Agropecuario
788127;470010106000006790018000000000;NPH;Forestal
1002507;470010106000007730801800000002;Condominio.Unidad_Predial;Forestal
972284;470010107000000460903901020252;PH.Unidad_Predial;Forestal
3008685;470010110000000480904901020089;PH.Unidad_Predial;Forestal
1042951;470010107000000490905901000443;PH.Unidad_Predial;Forestal
981095;470010110000000710901901010100;PH.Unidad_Predial;Forestal
950784;470010110000000640905901021007;PH.Unidad_Predial;Forestal
